id,code,fclass,name,north,east,zonei
108042,2304,pub,Simmons,529445.931,182163.385,0
262706,2304,pub,Kings Arms,489482.459,126959.002,1
262707,2304,pub,The Flying Bull,480378.229,127796.124,2
262708,2304,pub,Duke of Cumberland,489427.205,125775.633,3
262709,2304,pub,Hamilton Arms,485775.286,122246.062,4
262714,2304,pub,Rising Sun,483838.604,126961.235,5
262768,2304,pub,Elsted Inn,483415.249,120640.408,6
262801,2304,pub,The White Hart,478508.507,119498.84,7
271112,2304,pub,The New Forest,433358.409,110218.697,8
271144,2304,pub,The Wyndham Arms,401901.593,131491.823,9
271179,2304,pub,Milburys,456972.139,124594.862,10
271262,2304,pub,Royal Oak,423221.76,114141.402,11
271300,2304,pub,Hare and Hounds,428307.977,98669.105,12
271360,2304,pub,Crown Inn,397684.715,123371.937,13
271404,2304,pub,The Drift Inn,435018.624,106235.701,14
271421,2304,pub,Sir Walter Tyrrell,426862.43,112722.989,15
271448,2304,pub,Bell Inn,400793.833,137749.448,16
271466,2304,pub,The Red Lion,431856.533,98335.253,17
271490,2304,pub,The George Inn,434147.687,156569.555,18
376728,2304,pub,Inn for All Seasons,420415.127,212064.528,19
451152,2304,pub,King of Prussia,525134.35,190654.283,20
451154,2304,pub,The Catcher in the Rye,525039.458,190511.556,21
451271,2304,pub,The Tally Ho,526347.745,192160.305,22
560504,2304,pub,The Tree,452877.61,203873.112,23
581475,2304,pub,The Black Rock,433190.132,420820.781,24
585119,2304,pub,The Kings Arms,453151.534,201334.966,25
585120,2304,pub,The White Horse,439315.316,217572.944,26
603242,2304,pub,Robin Hood,452752.727,117725.195,27
608191,2304,pub,Vine Inn,448499.42,109238.26,28
656983,2304,pub,The White Hart,581959.293,308849.995,29
656984,2304,pub,Greyhound,582002.963,308887.148,30
696510,2304,pub,The Crab and Lobster Inn,465525.201,87335.416,31
1529094,2304,pub,Harry's Bar,432902.048,420620.565,32
2433320,2304,pub,High Down Inn,432409.491,85888.477,33
2509984,2304,pub,William the Conqueror,594242.864,119136.341,34
3788923,2304,pub,Fox and Hounds,503971.157,262649.446,35
3798140,2304,pub,White Hart Inn,455970.965,90282.448,36
3835145,2304,pub,Ring o' Bells,344105.515,365598.496,37
3865117,2304,pub,Fox and Hounds,502444.004,252856.489,38
4082703,2304,pub,The Star,503247.709,252389.639,39
4156515,2304,pub,The Wellington Arms,504879.932,250334.096,40
4156519,2304,pub,The Balloon,504904.915,250396.922,41
4160491,2304,pub,The New Sportsman,507349.679,250894.68,42
4372734,2304,pub,The Griffin,453005.842,81651.912,43
5046122,2304,pub,The Five Bells,510392.3,248445.07,44
5468439,2304,pub,The Killingworth Castle Inn,443814.017,220344.822,45
5660446,2304,pub,Crawley Inn,434321.351,212079.694,46
6895872,2304,pub,The Kalooki Club,503912.29,250140.619,47
7117331,2304,pub,The Paddington,504341.163,249598.089,48
7616495,2304,pub,Dew Drop Inn,482326.474,181503.855,49
8080888,2304,pub,The Railway Medina Tavern,449978.513,89385.991,50
8082479,2304,pub,The Falcon,458970.683,91866.026,51
8085658,2304,pub,The Gardeners Arms,504822.767,248609.074,52
8087176,2304,pub,The Cross Keys,505044.685,249822.976,53
8088275,2304,pub,The Wheatsheaf,437542.424,124704.458,54
8093989,2304,pub,S. Fowler & Co.,459186.472,92632.56,55
8093990,2304,pub,The Boathouse,461678.269,92079.796,56
8093992,2304,pub,The King's Head,435381.36,89735.692,57
8093995,2304,pub,The Waverley,448434.538,88232.422,58
8098589,2304,pub,Star Inn,459187.952,92342.847,59
8098590,2304,pub,The Castle,459158.084,92393.056,60
8098602,2304,pub,The Railway,459583.942,92038.904,61
8098620,2304,pub,Solent Inn,459786.136,92571.698,62
8098622,2304,pub,Black Sheep Bar,459208.229,92684.53,63
8148225,2304,pub,Horse and Groom,439988.007,89179.461,64
8245011,2304,pub,The Star,455115.494,79634.37,65
8351679,2304,pub,The Jolly Coopers,506715.73,235725.152,66
8674955,2304,pub,The Anchor Inn,513415.727,251663.898,67
9940801,2304,pub,The Gloucester Arms,505408.06,248021.591,68
10476525,2304,pub,Daleys Club,503615.469,248116.341,69
10476529,2304,pub,The Smiths Arms,503560.209,247897.721,70
10537178,2304,pub,Constitutional Club,503203.282,247819.35,71
10672205,2304,pub,Three Horseshoes,497587.009,364150.275,72
