,URN,zonei,east,north,MSOA
0,122271,0,399166,654722,E02005706
1,122282,1,399596,653494,E02005706
2,122309,2,399371,652516,E02005706
3,122186,3,399244,652391,E02005706
4,122185,4,400552,651610,E02005706
5,122187,5,399557,651322,E02005707
6,122248,6,400505,649276,E02005707
7,135064,7,390023,647179,E02005707
8,122294,8,412476,642007,E02005707
9,131221,9,401555,639679,E02005708
10,122291,10,394792,637460,E02005708
11,122244,11,410541,633734,E02005708
12,122214,12,421562,631560,E02005708
13,122236,13,399807,627900,E02005708
14,122289,14,417607,625333,E02005708
15,122290,15,423115,622695,E02005702
16,122188,16,404632,616338,E02005708
17,122277,17,424473,615301,E02005702
18,122280,18,418219,613341,E02005703
19,122305,19,419387,612909,E02005703
20,122172,20,418814,612853,E02005703
21,122279,21,406638,611901,E02005705
22,122264,22,423787,611105,E02005702
23,122238,23,420447,608448,E02005704
24,122301,24,424704,605235,E02005704
25,145638,25,393495,604713,E02005705
26,122173,26,427241,604399,E02005704
27,122174,27,426350,604107,E02005704
28,122240,28,416404,603956,E02005704
29,145637,29,403184,602350,E02005705
30,122221,30,405801,601948,E02005705
31,122196,31,424528,601252,E02005720
32,122273,32,418472,600781,E02005704
33,122197,33,425425,599155,E02005720
34,122283,34,414774,594532,E02005722
35,135634,35,424285,593858,E02005720
36,122215,36,387470,593760,E02005727
37,122233,37,363240,593225,E02005727
38,122299,38,418887,592368,E02005722
39,122198,39,428107,592039,E02005720
40,122199,40,426366,591368,E02005720
41,122216,41,422735,587691,E02005721
42,122239,42,426441,587536,E02005737
43,131021,43,427711,587441,E02005735
44,122226,44,379417,587432,E02005727
45,122307,45,428667,587193,E02005736
46,122190,46,389193,586937,E02005727
47,122297,47,418756,586672,E02005724
48,122312,48,419671,585998,E02005723
49,122247,49,425942,585990,E02005739
50,122232,50,402411,585856,E02005722
51,122178,51,427122,585655,E02005739
52,144181,52,419208,585651,E02005723
53,122243,53,425867,585381,E02005739
54,147820,54,420917,585095,E02005723
55,122210,55,420116,584555,E02005724
56,122180,56,425512,584276,E02005739
57,122179,57,430464,583857,E02005740
58,122183,58,384365,583118,E02005727
59,122177,59,427636,583092,E02005740
60,122181,60,427196,582225,E02005740
61,122176,61,425437,582036,E02005741
62,139756,62,429922,581995,E02005709
63,122308,63,425353,581992,E02005741
64,122281,64,426261,581877,E02005741
65,122254,65,428644,581593,E02005712
66,146544,66,430403,581532,E02005711
67,122302,67,413051,581243,E02005722
68,122304,68,430808,581197,E02005710
69,146545,69,431338,580977,E02005710
70,122261,70,430139,580047,E02005712
71,122258,71,429625,579794,E02005712
72,122228,72,420961,579491,E02005722
73,145779,73,410168,578875,E02005722
74,122269,74,426384,578233,E02005714
75,122191,75,427046,578156,E02005714
76,122266,76,426758,577981,E02005716
77,138257,77,427452,577666,E02005716
78,112103,78,352090,577361,E02003987
79,122194,79,426665,577339,E02005716
80,122300,80,386098,576820,E02005727
81,122224,81,430563,576768,E02005717
82,122193,82,425323,576751,E02005715
83,122268,83,426340,576280,E02005715
84,122234,84,433837,576132,E02005717
85,141832,85,426686,575924,E02005718
86,134473,86,426830,575327,E02005718
87,122223,87,429922,575241,E02005719
88,122195,88,431693,574784,E02005717
89,122225,89,428603,574412,E02005719
90,108611,90,426385,573693,E02001739
91,108600,91,434312,573595,E02001738
92,122272,92,391659,573358,E02005727
93,108437,93,421091,573258,E02001708
94,145784,94,416267,573210,E02005725
95,108590,95,434916,573197,E02001740
96,145780,96,416189,573193,E02005725
97,108585,97,433895,572912,E02001738
98,108609,98,424376,572843,E02001741
99,108589,99,435336,572634,E02001746
100,108612,100,427072,572382,E02001745
101,108610,101,423763,572364,E02001741
102,108580,102,430081,572133,E02001744
103,122202,103,407994,572023,E02005726
104,108588,104,432654,571984,E02001744
105,108583,105,436268,571908,E02001743
106,112259,106,347239,571840,E02003987
107,108587,107,427393,571672,E02001745
108,108586,108,427997,571590,E02001739
109,108584,109,434356,571526,E02001746
110,145781,110,415291,571410,E02005725
111,108591,111,433755,571390,E02001746
112,138576,112,427225,571377,E02001745
113,108622,113,434277,571103,E02001750
114,108569,114,436259,571098,E02001747
115,108579,115,431466,571055,E02001748
116,122295,116,391952,571038,E02005733
117,108618,117,435332,570925,E02001747
118,135286,118,422996,570751,E02001708
119,108582,119,427415,570572,E02001751
120,108581,120,430335,570536,E02001755
121,108578,121,434459,570384,E02001750
122,108576,122,435641,570364,E02001750
123,108620,123,427962,570303,E02001749
124,108605,124,427920,570146,E02001749
125,108606,125,428437,569903,E02001751
126,108607,126,433067,569817,E02001752
127,108577,127,434214,569559,E02001757
128,108604,128,427327,569417,E02001756
129,108442,129,424559,569326,E02001709
130,108443,130,424559,569326,E02001709
131,108573,131,435628,569257,E02001754
132,143268,132,422619,569255,E02001710
133,108497,133,424574,569215,E02001709
134,132141,134,431289,569039,E02001758
135,143270,135,421021,568985,E02001708
136,143116,136,338265,568876,E02003987
137,108444,137,423882,568860,E02001709
138,108615,138,427309,568845,E02001756
139,108621,139,427274,568826,E02001756
140,108440,140,423302,568788,E02001710
141,108614,141,435483,568731,E02001759
142,108496,142,423969,568648,E02001709
143,108574,143,435047,568640,E02001759
144,108603,144,426854,568581,E02001756
145,108495,145,425080,568383,E02001712
146,108602,146,434015,568375,E02001760
147,108595,147,430893,568360,E02001761
148,108616,148,435168,568231,E02001759
149,108454,149,419586,568192,E02001711
150,108438,150,424095,568136,E02001713
151,108624,151,429856,568061,E02001761
152,108617,152,434126,568024,E02001760
153,143269,153,422437,568021,E02001715
154,108623,154,431788,567973,E02001763
155,108506,155,422001,567965,E02001715
156,108594,156,429350,567955,E02001762
157,143267,157,421555,567940,E02001715
158,112256,158,355358,567904,E02003988
159,108599,159,428915,567889,E02001762
160,108459,160,426955,567875,E02001714
161,108668,161,436381,567833,E02001768
162,108571,162,434973,567812,E02001764
163,122298,163,388069,567810,E02005733
164,143271,164,420275,567782,E02001711
165,108498,165,419868,567623,E02001711
