,id,zonei,east,north,MSOA
0,1010004593,0,561808.4009,99110.41946,E02004365
1,1010000808,1,436264.6708,145076.8395,E02004819
2,1010006561,2,523909.6709,213198.2095,E02004985
3,1010002439,3,454491.0009,346037.9996,E02002869
4,1010004055,4,137465.9671,520855.0904,
5,1010012952,5,350442.1208,238912.8395,E02002921
6,1010000906,6,350552.3708,239299.0795,E02002919
7,1010011496,7,266547.4607,845667.7801,
8,1010007153,8,615157.7709,244552.6796,E02006254
9,1010000134,9,298904.6008,576197.2998,
10,1010006299,10,268565.0007,197152.0395,W02000177
11,1010002539,11,395158.0008,395054.9997,E02001256
12,1010004033,12,406182.0008,91693.99942000001,E02003211
13,1010005215,13,377978.1908,407428.0497,E02001034
14,1010000725,14,378331.2708,406788.5697,E02001036
15,1010006005,15,345703.8108,389350.8597,E02001343
16,1010006198,16,261615.5407,662342.2399,
17,1010015964,17,373499.1125,403456.936,E02001158
18,1010006911,18,374972.2008,428872.2497,E02005216
19,1010000560,19,375518.9808,428982.9397,E02005217
20,1010012101,20,531729.5609,343629.3896,E02006865
21,1010000769,21,532238.5009,344314.0996,E02005418
22,1010005911,22,392822.1208,298458.9596,E02002166
23,1010006296,23,240469.0007,219732.9995,W02000149
24,1010005565,24,435415.8409,408377.1897,E02001518
25,1010015568,25,518145.4655,131244.1822,E02006591
26,1010015881,26,444321.9297,312999.6487,E02005407
27,1010007560,27,454651.0209,301343.0196,E02005336
28,1010002513,28,443859.0009,381111.9997,E02006803
29,1010000846,29,397670.8408,296722.6796,E02002142
30,1010004552,30,404944.4608,88468.07942000002,E02003211
31,1010002604,31,361129.0008,386459.9997,E02002607
32,1010007479,32,400333.4608,295171.9296,E02002045
33,1010002464,33,391126.0008,412852.9997,E02001143
34,1010004605,34,522328.8109,105888.3095,E02006535
35,1010000153,35,393890.1108,289054.9696,E02002017
36,1010004982,36,267624.1407,663884.7799,
37,1010005979,37,535989.1509,199799.6995,E02000277
38,1010013273,38,352212.6708,381526.0497,E02002586
39,1010000840,39,353387.1308,381586.2397,E02002586
40,1010005082,40,617204.7809,243808.1496,E02006255
41,1010012185,41,618359.4909,243640.2596,E02006258
42,1010000063,42,299210.1108,528508.6198,E02003973
43,1010005912,43,395647.6608,297048.1696,E02002170
44,1010002632,44,394974.2108,296199.0496,E02002181
45,1010002264,45,457961.6370000001,400608.6045,E02001566
46,1010000673,46,486729.2509,155388.3295,E02004807
47,1010007529,47,486017.7609,154597.8295,E02004808
48,1010014675,48,619459.9948,242025.2693,E02006258
49,1010008221,49,327868.0533,692880.6039,
50,1010006178,50,410295.9515,550431.2422,E02004305
51,1010004216,51,408207.0008,424276.9997,E02002259
52,1010002224,52,621479.0009,136518.9995,E02006880
53,1010004115,53,619283.0009,137006.9995,E02005106
54,1010000593,54,112235.9606,512649.0197,
55,1010002267,55,367278.0008,81683.99941,E02004283
56,1010010507,56,367412.8494,81593.67915,E02004283
57,1010007465,57,424396.8108,422066.8297,E02002287
58,1010000843,58,424311.2508,421387.9597,E02002294
59,1010005936,59,376332.7008,428359.2997,E02005219
60,1010010414,60,375743.5208,428504.0497,E02005217
61,1010002596,61,451583.3557,518576.4672,E02002499
62,1010006187,62,334172.0008,672248.9999,
63,1010000047,63,363673.6508,411324.3197,E02000987
64,1010015054,64,431868.9095,567088.9617,E02001765
65,1010000317,65,429299.6609,562166.8798,E02001684
66,1010007973,66,422967.1421,542570.7364,E02004316
67,1010014360,67,521376.0489,164255.3146,E02006337
68,1010005700,68,443092.2508,122440.1095,E02004712
69,1010000844,69,433037.4809,417166.7597,E02002470
70,1010004362,70,274071.9507,197468.5295,W02000205
71,1010002408,71,280006.8907,655285.5199,
72,1010006238,72,279228.4407,655198.6099,
73,1010008438,73,304737.1124,667760.0954,
74,1010004088,74,300021.2507,203136.9195,W02000253
75,1010005827,75,513166.7509,174409.7895,E02000546
76,1010010261,76,399597.0401,90778.61319,E02003209
77,1010013777,77,236221.7707,623616.8099,
78,1010000644,78,396273.8808,294117.1996,E02002056
79,1010015913,79,264864.5383,662433.5793,
80,1010006195,80,264647.0007,664326.9999,
81,1010005091,81,234471.2407,619525.8299,
82,1010002347,82,234049.0007,621126.9999,
