,URN,zonei,east,north,MSOA
0,137598,0,399936,651376,E02005706
1,145639,1,406293,601192,E02005705
2,137746,2,419647,586766,E02005721
3,137747,3,419230,586396,E02005724
4,137748,4,419136,586331,E02005724
5,138078,5,425090,582427,E02005741
6,141814,6,425290,582104,E02005741
7,137457,7,426176,575865,E02005718
8,143469,8,416539,572179,E02005725
9,145783,9,416508,572103,E02005725
10,137734,10,433557,569403,E02001757
11,136352,11,424162,568788,E02001709
12,136348,12,424103,568289,E02001713
13,140081,13,426075,568146,E02001714
14,138120,14,422076,567804,E02001715
15,144271,15,428294,566235,E02001727
16,137708,16,421933,565358,E02001726
17,145528,17,429182,565232,E02001727
18,137900,18,420876,564975,E02001734
19,144204,19,438028,564724,E02001773
20,142601,20,436632,564665,E02001772
21,143291,21,392556,563954,E02005730
22,143292,22,393740,563802,E02005730
23,146894,23,408113,563472,E02005729
24,137851,24,417885,562988,E02001686
25,139878,25,430671,562909,E02001782
26,146871,26,409273,562569,E02005731
27,146926,27,409649,562377,E02005731
28,136386,28,440786,562198,E02001785
29,137252,29,352532,561293,E02003988
30,137360,30,420291,560694,E02001698
31,137852,31,427415,560129,E02001702
32,144937,32,430755,557206,E02001799
33,138054,33,439136,556366,E02001803
34,137369,34,340363,556171,E02003992
35,138923,35,429254,555825,E02001810
36,139538,36,439327,555535,E02001806
37,137942,37,427650,555432,E02001707
38,139839,38,430999,555287,E02001809
39,138103,39,440112,555272,E02001812
40,147142,40,430824,554855,E02001807
41,139184,41,439318,553480,E02001821
42,139852,42,436834,553281,E02001816
43,136971,43,427692,551263,E02004294
44,137254,44,337121,550532,E02003999
45,137262,45,433897,549594,E02001824
46,138172,46,416354,548207,E02004306
47,137696,47,426767,544778,E02004309
48,143583,48,426674,543258,E02004315
49,138075,49,441650,543150,E02004324
50,147122,50,443984,540591,E02004330
51,136451,51,441745,539599,E02004329
52,137903,52,420078,534680,E02004351
53,145253,53,427458,532206,E02004335
54,140867,54,449335,531431,E02002491
55,142306,55,312959,531073,E02003971
56,136732,56,351199,529604,E02004011
57,136770,57,421378,529547,E02004352
58,147670,58,435937,529366,E02004339
59,137702,59,420026,528428,E02004355
60,138717,60,428353,525844,E02004343
61,142273,61,459525,524529,E02002516
62,136902,62,326042,524264,E02003976
63,137251,63,368104,521037,E02004013
64,140751,64,453771,520248,E02006910
65,138711,65,453415,518005,E02002502
66,145774,66,447720,516824,E02002508
67,142382,67,449948,516780,E02002506
68,142281,68,445905,516696,E02002552
69,138089,69,430650,516255,E02002563
70,138845,70,454282,515447,E02006812
71,137622,71,426883,514456,E02002569
72,136838,72,426355,514079,E02002569
73,139606,73,444073,513864,E02002557
74,143063,74,441541,513641,E02002555
75,139318,75,442187,511367,E02002558
76,136525,76,429841,509938,E02002573
77,137107,77,377253,508812,E02004014
78,141930,78,453052,508326,E02005750
79,147213,79,418333,501602,E02005783
80,145090,80,417972,501285,E02005783
81,136526,81,352291,494014,E02004017
82,137269,82,366264,492026,E02004023
83,136671,83,351883,491570,E02004020
84,143288,84,501940,489810,E02005799
85,147212,85,502449,487513,E02005803
86,137205,86,349998,481716,E02004025
87,136357,87,360707,478609,E02004023
88,137338,88,338127,478474,E02004027
89,137412,89,430220,471316,E02005762
90,136728,90,479633,470649,E02006870
91,145082,91,350378,470279,E02005221
92,147260,92,348834,462330,E02005233
93,136742,93,348363,461536,E02005234
94,136381,94,347497,461382,E02005234
95,136731,95,347553,460657,E02005234
96,138190,96,431512,455987,E02005773
97,137139,97,431226,454660,E02005777
98,136497,98,429831,454195,E02005780
99,136544,99,456691,453546,E02002782
100,136896,100,429450,453431,E02005780
101,136664,101,398304,451970,E02005745
102,136617,102,463027,451121,E02002785
103,142648,103,459791,450693,E02002788
104,144711,104,461355,449316,E02002794
105,143588,105,481242,449140,E02002694
106,136905,106,412318,447313,E02002183
107,137704,107,420208,446325,E02002332
108,142856,108,388265,446270,E02005241
