HomeMSOA,DestinationMSOA,Total_Flow
2003122,2003122,503
2003122,2003123,126
2003122,2003124,19
2003122,2003125,60
2003122,2003126,1580
2003122,2003127,65
2003122,2003128,125
2003122,2003129,280
2003122,2003130,54
2003122,2003131,103
2003122,2003132,112
2003122,2003133,52
2003122,2003134,89
2003122,2003135,205
2003122,2003136,110
2003122,2003137,157
2003122,2003138,89
2003122,2003139,0
2003122,2003140,116
2003122,2003141,65
2003122,2003142,121
2003122,2003143,0
2003122,2003144,210
2003122,2003145,196
2003122,2003146,58
2003122,2003147,230
2003122,2003148,925
2003122,2003149,196
2003122,2003150,375
2003122,2003151,0
2003122,2003152,157
2003122,2003153,0
2003122,2003154,0
2003122,2003155,0
2003122,2003156,0
2003122,2003157,0
2003122,2003158,0
2003122,2003159,0
2003122,2003161,0
2003122,2003163,0
2003122,2003164,0
2003122,2003165,0
2003122,2003166,0
2003122,2003167,0
2003122,2003168,0
2003122,2003169,0
2003122,2003170,0
2003122,2003171,0
2003122,2004129,0
2003122,2004130,0
2003122,2004131,0
2003122,2004132,0
2003122,2004133,0
2003122,2004134,0
2003122,2004135,0
2003122,2004136,0
2003122,2004137,0
2003122,2004138,0
2003122,2004139,0
2003122,2004140,0
2003122,2004141,0
2003122,2004142,0
2003122,2004143,0
2003122,2004144,0
2003122,2004145,0
2003122,2004146,0
2003122,2004147,0
2003122,2004148,0
2003122,2004149,0
2003122,2004150,0
2003122,2004151,0
2003122,2004152,0
2003122,2004153,0
2003122,2004154,0
2003122,2004155,0
2003122,2004156,0
2003122,2004157,0
2003122,2004158,0
2003122,2004159,0
2003122,2004160,0
2003122,2004161,0
2003122,2004162,0
2003122,2004163,0
2003122,2004164,0
2003122,2004165,0
2003122,2004166,0
2003122,2004167,0
2003122,2004168,0
2003122,2004169,0
2003122,2004170,0
2003122,2004171,0
2003122,2004172,0
2003122,2004173,0
2003122,2004174,0
2003122,2004175,0
2003122,2004176,0
2003122,2004177,0
2003122,2004178,0
2003122,2004179,0
2003122,2004180,0
2003122,2004181,0
2003122,2004182,0
2003122,2004183,0
2003122,2004184,0
2003122,2004185,0
2003122,2004186,0
2003122,2004187,0
2003122,2004188,0
2003122,2004189,316
2003122,2004190,0
2003122,2004191,32
2003122,2004192,0
2003122,2004193,0
2003122,2004194,0
2003122,2004195,0
2003122,2004196,0
2003122,2004197,0
2003122,2004198,0
2003122,2004199,0
2003122,2004200,0
2003122,2004201,0
2003122,2004202,0
2003122,2004203,0
2003122,2004204,0
2003122,2004205,0
2003122,2004206,0
2003122,2004207,0
2003122,2004208,0
2003122,2004209,0
2003122,2004210,0
2003122,2004211,0
2003122,2004212,0
2003122,2004213,0
2003122,2004214,0
2003122,2004215,0
2003122,2004216,0
2003122,2004217,0
2003122,2004218,0
2003122,2004219,0
2003122,2004220,0
2003122,2004221,0
2003122,2004222,0
2003122,2004223,0
2003122,2004224,0
2003122,2004225,0
2003122,2004226,0
2003122,2004227,0
2003122,2004228,0
2003122,2004229,0
2003122,2004230,0
2003122,2004231,0
2003122,2004232,0
2003122,2004233,73
2003122,2004234,0
2003122,2004235,0
2003122,2006840,0
2003123,2003122,414
2003123,2003123,205
2003123,2003124,96
2003123,2003125,84
2003123,2003126,1177
2003123,2003127,91
2003123,2003128,187
2003123,2003129,437
2003123,2003130,73
2003123,2003131,144
2003123,2003132,166
2003123,2003133,75
2003123,2003134,126
2003123,2003135,281
2003123,2003136,142
2003123,2003137,231
2003123,2003138,130
2003123,2003139,0
2003123,2003140,157
2003123,2003141,89
2003123,2003142,164
2003123,2003143,0
2003123,2003144,292
2003123,2003145,277
2003123,2003146,79
2003123,2003147,309
2003123,2003148,1265
2003123,2003149,262
2003123,2003150,508
2003123,2003151,0
2003123,2003152,205
2003123,2003153,0
2003123,2003154,0
2003123,2003155,0
2003123,2003156,0
2003123,2003157,0
2003123,2003158,0
2003123,2003159,0
2003123,2003161,0
2003123,2003163,0
2003123,2003164,0
2003123,2003165,0
2003123,2003166,0
2003123,2003167,0
2003123,2003168,0
2003123,2003169,0
2003123,2003170,0
2003123,2003171,0
2003123,2004129,0
2003123,2004130,0
2003123,2004131,0
2003123,2004132,0
2003123,2004133,0
2003123,2004134,0
2003123,2004135,0
2003123,2004136,0
2003123,2004137,0
2003123,2004138,0
2003123,2004139,0
2003123,2004140,0
2003123,2004141,0
2003123,2004142,0
2003123,2004143,0
2003123,2004144,0
2003123,2004145,0
2003123,2004146,0
2003123,2004147,0
2003123,2004148,0
2003123,2004149,0
2003123,2004150,0
2003123,2004151,0
2003123,2004152,0
2003123,2004153,0
2003123,2004154,0
2003123,2004155,0
2003123,2004156,0
2003123,2004157,0
2003123,2004158,0
2003123,2004159,0
2003123,2004160,0
2003123,2004161,0
2003123,2004162,0
2003123,2004163,0
2003123,2004164,0
2003123,2004165,0
2003123,2004166,0
2003123,2004167,0
2003123,2004168,0
2003123,2004169,0
2003123,2004170,0
2003123,2004171,0
2003123,2004172,0
2003123,2004173,0
2003123,2004174,0
2003123,2004175,0
2003123,2004176,0
2003123,2004177,0
2003123,2004178,0
2003123,2004179,0
2003123,2004180,0
2003123,2004181,0
2003123,2004182,0
2003123,2004183,0
2003123,2004184,0
2003123,2004185,0
2003123,2004186,0
2003123,2004187,0
2003123,2004188,0
2003123,2004189,459
2003123,2004190,0
2003123,2004191,0
2003123,2004192,0
2003123,2004193,0
2003123,2004194,0
2003123,2004195,0
2003123,2004196,0
2003123,2004197,0
2003123,2004198,0
2003123,2004199,0
2003123,2004200,0
2003123,2004201,0
2003123,2004202,0
2003123,2004203,0
2003123,2004204,0
2003123,2004205,0
2003123,2004206,0
2003123,2004207,0
2003123,2004208,0
2003123,2004209,0
2003123,2004210,0
2003123,2004211,0
2003123,2004212,0
2003123,2004213,0
2003123,2004214,0
2003123,2004215,0
2003123,2004216,0
2003123,2004217,0
2003123,2004218,0
2003123,2004219,0
2003123,2004220,0
2003123,2004221,0
2003123,2004222,0
2003123,2004223,0
2003123,2004224,0
2003123,2004225,0
2003123,2004226,0
2003123,2004227,0
2003123,2004228,0
2003123,2004229,0
2003123,2004230,0
2003123,2004231,0
2003123,2004232,0
2003123,2004233,72
2003123,2004234,0
2003123,2004235,0
2003123,2006840,0
2003124,2003122,383
2003124,2003123,246
2003124,2003124,91
2003124,2003125,80
2003124,2003126,1112
2003124,2003127,86
2003124,2003128,170
2003124,2003129,388
2003124,2003130,71
2003124,2003131,137
2003124,2003132,152
2003124,2003133,46
2003124,2003134,119
2003124,2003135,270
2003124,2003136,140
2003124,2003137,213
2003124,2003138,121
2003124,2003139,0
2003124,2003140,152
2003124,2003141,86
2003124,2003142,158
2003124,2003143,0
2003124,2003144,278
2003124,2003145,262
2003124,2003146,76
2003124,2003147,300
2003124,2003148,1218
2003124,2003149,255
2003124,2003150,492
2003124,2003151,0
2003124,2003152,202
2003124,2003153,0
2003124,2003154,0
2003124,2003155,0
2003124,2003156,0
2003124,2003157,0
2003124,2003158,0
2003124,2003159,0
2003124,2003161,0
