day,timeout_multiplier
1,0.956422304
2,0.962609641
3,0.968531708
4,0.974155348
5,0.979447402
6,0.98437471
7,0.988904115
8,0.993002458
9,0.99662551
10,0.999600344
11,1.001671006
12,1.002580157
13,1.002070456
14,0.999884565
15,0.995765145
16,0.989454856
17,0.980696359
18,0.969232315
19,0.954805384
20,0.937158228
21,0.916033507
22,0.891173881
23,0.862327516
24,0.829572802
25,0.793499983
26,0.754743331
27,0.713937118
28,0.671715618
29,0.628713104
30,0.585563848
31,0.542902123
32,0.501362202
33,0.461578358
34,0.424184864
35,0.389815992
36,0.359106016
37,0.332689208
38,0.311027449
39,0.293893051
40,0.280885933
41,0.271606014
42,0.265653216
43,0.262627457
44,0.262128656
45,0.263756734
46,0.26711161
47,0.271793204
48,0.277401435
49,0.283536223
50,0.289797487
51,0.295785148
52,0.301122575
53,0.305705752
54,0.309606545
55,0.312899749
56,0.315660159
57,0.317962572
58,0.319881782
59,0.321492586
60,0.322869779
61,0.324088157
62,0.325222516
63,0.326347651
64,0.327538358
65,0.328869432
66,0.330415328
67,0.332229952
68,0.334335367
69,0.336750896
70,0.339495861
71,0.342589586
72,0.346051393
73,0.349900606
74,0.354156546
75,0.358838537
76,0.363965901
77,0.369557962
78,0.375634042
79,0.382213464
80,0.389315551
81,0.396938692
82,0.404997538
83,0.413385806
84,0.421997215
85,0.430725482
86,0.439464324
87,0.448107459
88,0.456548604
89,0.464681477
90,0.472399795
91,0.479597277
92,0.486167638
93,0.492004598
94,0.497001873
95,0.501064703
96,0.504232282
97,0.506630221
98,0.508385574
99,0.509625395
100,0.510476736
101,0.511066651
102,0.511522193
103,0.511970416
104,0.512538372
105,0.513353114
106,0.514541697
107,0.516231173
108,0.518548596
109,0.521619872
110,0.525502155
111,0.530146028
112,0.535492908
113,0.54148421
114,0.54806135
115,0.555165746
116,0.562738812
117,0.570721965
118,0.579056621
119,0.587684196
120,0.596546107
121,0.60558377
122,0.6147386
123,0.623952014
