day,timeout_multiplier
1,0.991494866
2,0.998547626
3,1.004937059
4,1.010580249
5,1.015394279
6,1.019296234
7,1.022203198
8,1.024032255
9,1.024700488
10,1.024125348
11,1.022246235
12,1.019036568
13,1.014472697
14,1.008530968
15,1.00118773
16,0.99241933
17,0.982202116
18,0.970512435
19,0.957326635
20,0.942621065
21,0.926372071
22,0.908556001
23,0.889149203
24,0.868128025
25,0.845468815
26,0.821164612
27,0.795402508
28,0.768494787
29,0.740755822
30,0.712499982
31,0.684041641
32,0.655695169
33,0.627774938
34,0.600595319
35,0.574470684
36,0.549715404
37,0.526643851
38,0.505570396
39,0.48680941
40,0.470675266
41,0.457482334
42,0.447445517
43,0.440381843
44,0.43600887
45,0.434044156
46,0.43420526
47,0.43620974
48,0.439775155
49,0.444619062
50,0.450459022
51,0.457012591
52,0.463997328
53,0.471130793
54,0.478130543
55,0.484714136
56,0.490599132
57,0.495505639
58,0.499306859
59,0.50211328
60,0.504055804
61,0.505265332
62,0.505872766
63,0.506009007
64,0.505804956
65,0.505391514
66,0.504899584
67,0.504460066
68,0.504203863
69,0.504261874
70,0.504765002
71,0.505844148
72,0.507630214
73,0.51024328
74,0.513677635
75,0.517846416
76,0.522661403
77,0.52803438
78,0.533877127
79,0.540101427
80,0.546619062
81,0.553341814
82,0.560181465
83,0.567049798
84,0.573858593
85,0.580519634
86,0.586944703
87,0.593045581
88,0.59873405
89,0.603942309
90,0.608684218
91,0.612994054
92,0.616906093
93,0.620454612
94,0.623673888
95,0.626598197
96,0.629261817
97,0.631699023
98,0.633944092
99,0.636031301
100,0.637994927
101,0.639869245
102,0.641688534
103,0.643487068
104,0.645298991
105,0.647150301
106,0.649054384
107,0.651023538
108,0.653070061
109,0.655206253
110,0.657444412
111,0.659796837
112,0.662275826
113,0.664893678
114,0.667662692
115,0.670595167
116,0.673703401
117,0.676999692
118,0.68049634
119,0.684205643
120,0.688138571
121,0.692290639
122,0.696647393
123,0.701194213
124,0.705916478
125,0.710799568
126,0.715828862
127,0.72098974
128,0.726267581
129,0.731647766
130,0.737115672
131,0.742656682
132,0.748256173
133,0.753899525
134,0.759572118
135,0.765259331
