day,timeout_multiplier
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0.930517311
9,0.939891718
10,0.949183209
11,0.958308868
12,0.967185779
13,0.975731026
14,0.983861694
15,0.991494866
16,0.998547626
17,1.004937059
18,1.010580249
19,1.015394279
20,1.019296234
21,1.022203198
22,1.024032255
23,1.024700488
24,1.024125348
25,1.022246235
26,1.019036568
27,1.014472697
28,1.008530968
29,1.00118773
30,0.99241933
31,0.982202116
32,0.970512435
33,0.957326635
34,0.942621065
35,0.926372071
36,0.908556001
37,0.889149203
38,0.868128025
39,0.845468815
40,0.821164612
41,0.795402508
42,0.768494787
43,0.740755822
44,0.712499982
45,0.684041641
46,0.655695169
47,0.627774938
48,0.600595319
49,0.574470684
50,0.549715404
51,0.526643851
52,0.505570396
53,0.48680941
54,0.470675266
55,0.457482334
56,0.447445517
57,0.440381843
58,0.43600887
59,0.434044156
60,0.43420526
61,0.43620974
62,0.439775155
63,0.444619062
64,0.450459022
65,0.457012591
66,0.463997328
67,0.471130793
68,0.478130543
69,0.484714136
70,0.490599132
71,0.495505639
72,0.499306859
73,0.50211328
74,0.504055804
75,0.505265332
76,0.505872766
77,0.506009007
78,0.505804956
79,0.505391514
80,0.504899584
81,0.504460066
82,0.504203863
83,0.504261874
84,0.504765002
85,0.505844148
86,0.507630214
87,0.51024328
88,0.513677635
89,0.517846416
90,0.522661403
91,0.52803438
92,0.533877127
93,0.540101427
94,0.546619062
95,0.553341814
96,0.560181465
97,0.567049798
98,0.573858593
99,0.580519634
100,0.586944703
101,0.593045581
102,0.59873405
103,0.603942309
104,0.608684218
105,0.612994054
106,0.616906093
107,0.620454612
108,0.623673888
109,0.626598197
110,0.629261817
111,0.631699023
112,0.633944092
113,0.636031301
114,0.637994927
115,0.639869245
116,0.641688534
117,0.643487068
118,0.645298991
119,0.647150301
120,0.649054384
121,0.651023538
122,0.653070061
123,0.655206253
124,0.657444412
125,0.659796837
126,0.662275826
127,0.664893678
128,0.667662692
129,0.670595167
130,0.673703401
131,0.676999692
132,0.68049634
133,0.684205643
134,0.688138571
135,0.692290639
136,0.696647393
137,0.701194213
138,0.705916478
139,0.710799568
140,0.715828862
141,0.72098974
142,0.726267581
143,0.731647766
144,0.737115672
145,0.742656682
146,0.748256173
147,0.753899525
148,0.759572118
149,0.765259331
