store_name,postcode,sel,bng_e,bng_n,size_band
Co-op Lyme Regis,DT7 3QF,1,334032.1685,92145.30871,2000
Tesco Lyme Regis Express,DT7 3QL,1,334048.7029,92143.03693,2000
Waitrose Exeter,EX1 2ED,1,293163.4207,92702.9594,25000
Co-op Heavitree,EX1 2RJ,1,293882.116,92397.91479,8000
Tesco Heavitree Esso Express,EX1 2RN,1,293992.2807,92417.8594,2000
Sainsburys Pinhoe Rd,EX1 3PF,1,295632.0007,93660.9994,50000
Co-op Exeter Pinhoe,EX1 3TG,1,296942.7267,95068.16182,2000
Tesco Sidmouth High Street Express,EX10 8EJ,1,312622.9507,87689.7494,2000
Co-op Sidmouth,EX10 8EQ,1,312673.8738,87595.42941,2000
Waitrose Sidmouth,EX10 9GA,1,312228.3507,89673.3494,25000
Lidl Sidmouth,EX10 9UU,1,312583.0407,88973.5794,8000
Sainsburys Ottery St Mary,EX11 1BW,1,309672.0007,95513.99941,25000
Tesco Seaton Superstore,EX12 2PB,1,324764.0507,90078.0794,50000
Co-op Seaton - Underfleet,EX12 2PQ,1,324598.8515,90008.04402,8000
Co-op Seaton,EX12 2RU,1,324347.0552,90425.94353,2000
Co-op Axminster - South Street,EX13 5AD,1,329753.0007,98435.99941,8000
Tesco Axminster Superstore,EX13 5NG,1,329510.0007,98561.99941,8000
Co-op Axminster,EX13 5PA,1,329627.3807,98362.67941,8000
Aldi Honiton,EX14 1AZ,1,315037.0307,100186.1894,8000
M&S Honiton BP,EX14 1BQ,1,315063.2148,100257.9673,2000
Iceland Honiton,EX14 1LR,1,316131.0307,100680.2294,8000
Co-op Honiton,EX14 1LR,1,316136.4476,100720.539,8000
Lidl Honiton,EX14 1SG,1,314832.0707,100006.9994,25000
Tesco Honiton Superstore,EX14 2XD,1,315356.3207,99728.36941,25000
Tesco Cullompton Superstore,EX15 1BQ,1,302341.0007,107431.9994,25000
Aldi Cullompton,EX15 1FU,1,302012.7807,106956.6994,8000
Co-op Cullompton,EX15 1JS,1,302073.5368,107261.4894,2000
Co-op Willand Mid Devon Business Park,EX15 2QW,1,303859.0089,111418.5034,2000
Co-op Uffculme,EX15 3AA,1,306746.2392,112734.601,8000
Tesco Tiverton Superstore,EX16 4DB,1,295905.0007,112726.9994,50000
M&S Tiverton SF,EX16 6LU,1,295538.7407,112483.0194,8000
Morrisons Cowleymoor Tiverton,EX16 6RZ,1,295236.2507,113073.0094,25000
Tesco Tiverton Moorhayes Park Express,EX16 6TN,1,296220.7907,113950.4094,2000
Morrisons Crediton,EX17 1EY,1,283816.0007,100215.9994,25000
Co-op High Street Crediton,EX17 3DU,1,283243.4707,100317.1394,8000
Tesco Crediton Express,EX17 3JP,1,283030.0207,100320.1594,2000
Tesco Crediton Superstore,EX17 3PH,1,284234.0007,99520.9994,50000
Co-op Burston Cross Road Bow,EX17 6LA,1,271402.1807,101763.0294,2000
Budgens Magdalen Road,EX2 4TA,1,292746.0424,92378.20706,8000
Lidl Heavitree Exeter,EX2 6NF,1,294326.6907,91563.3794,8000
Aldi Countess Wear,EX2 7DT,1,295654.0971,89028.69014,8000
Tesco Exeter Vale Extra,EX2 7EZ,1,295412.0007,90924.9994,50000
M&S Exeter M5 Moto SF,EX2 7HF,1,296766.1007,91806.2894,2000
Co-op Haven Banks,EX2 8BP,1,291706.0678,91948.25696,2000
Aldi St Thomas Exeter,EX2 8HG,1,291675.9707,91600.9194,8000
Iceland Alphington,EX2 8HR,1,291685.3907,91595.3194,8000
Co-op Alphington Road Exeter,EX2 8JD,1,291543.6707,91213.3194,2000
Makro Exeter,EX2 8LB,1,293285.9207,89615.3694,50000
Sainsburys Alphington Rd,EX2 8NH,1,291634.1207,90806.6794,50000
Lidl Marsh Barton Exeter,EX2 8TT,1,291951.3407,90220.3594,8000
Lidl Okehampton,EX20 1EU,1,258773.5507,95439.4694,8000
Co-op Okehampton,EX20 1HN,1,258624.5166,95298.48466,8000
Budgens Whitehouse,EX20 1QS,1,262033.4395,95037.9652,2000
Waitrose Okehampton,EX20 1WL,1,258685.0007,95352.0394,25000
Co-op Hatherleigh,EX20 3HY,1,254102.6458,104360.3547,2000
Co-op Holsworthy,EX22 6AP,1,234311.0007,103748.9994,2000
Waitrose Holsworthy,EX22 6AZ,1,234236.7507,103544.7494,8000
M&S Holsworthy BP,EX22 6HZ,1,234066.3078,104177.6045,2000
Co-op Bude,EX23 8AU,1,221059.2587,106475.9998,8000
Lidl Bude,EX23 8BA,1,222050.5507,106037.8694,8000
Sainsburys Bude,EX23 8ND,1,220732.0007,106696.9994,8000
Morrisons Bude,EX23 8UA,1,222054.0007,106221.9994,25000
Co-op Kilkhampton,EX23 9QN,1,225376.7486,111510.731,8000
Co-op Topsham,EX3 0HF,1,296565.2368,88132.95589,2000
Tesco Barnstaple High Street Express,EX31 1EZ,1,255812.9407,133130.4194,2000
M&S Barnstaple,EX31 1HX,1,255754.2807,133267.1594,8000
Iceland Barnstaple,EX31 1JB,1,255678.5107,133448.7694,8000
Asda Barnstaple Superstore,EX31 2AA,1,255330.6506,132902.8188,50000
Iceland Barnstaple Food Warehouse,EX31 2AA,1,255635.1344,132842.9607,8000
Tesco Barnstaple Taw View Extra,EX31 2AS,1,255743.0907,132434.6394,50000
Lidl Roundswell Barnstaple,EX31 2BP,1,255784.5807,132711.7394,8000
Sainsburys Barnstaple,EX31 3NH,1,254077.0007,131810.9994,50000
Co-op Barnstaple - St Georges Road,EX32 7AU,1,256401.1374,133819.1495,8000
Lidl Newport Barnstaple,EX32 8PB,1,256839.3107,132582.0794,8000
