store_name,MSOA,sel,bng_e,bng_n,size_band,ID,Location_Name,Danger,Danger0,Danger001,Danger002,Danger003,Danger004,Danger005,Danger006,Danger007,Danger008,Danger009,Danger010
Co-op Lyme Regis,E02004164,1,334032.1685,92145.30871,2000,1,Co-op Lyme Regis,0,0,0.00088896,0.00088896,0.0068061,0.01047306,0.01539012,0.01950156,0.01935373,0.02220191,0.02465541,0.02785563
Tesco Lyme Regis Express,E02004164,1,334048.7029,92143.03693,2000,2,Tesco Lyme Regis Express,0,0,0,0,0,0,0,0,0,0,0,0
Waitrose Exeter,E02004164,1,293163.4207,92702.9594,25000,3,Waitrose Exeter,0,0,0,0,0,0,0,0,0,0.0030602,0.0030287,0.00362578
Co-op Heavitree,E02004164,1,293882.116,92397.91479,8000,4,Co-op Heavitree,0,0,0,0,0,0,0,0,0,0,0,0
Tesco Heavitree Esso Express,E02004164,1,293992.2807,92417.8594,2000,5,Tesco Heavitree Esso Express,0,0,0,0,0,0,0,0,0,0,0,0
Sainsburys Pinhoe Rd,E02004164,1,295632.0007,93660.9994,50000,6,Sainsburys Pinhoe Rd,0,0,0,0,0,0,0,0,0,0,0,0.00402513
Co-op Exeter Pinhoe,E02004165,1,296942.7267,95068.16182,2000,7,Co-op Exeter Pinhoe,0,0,0,0,0,0,0,0,0,0,0,0
Tesco Sidmouth High Street Express,E02004165,1,312622.9507,87689.7494,2000,8,Tesco Sidmouth High Street Express,0,0,0,0,0,0,0,0,0,0,0,0
Co-op Sidmouth,E02004165,1,312673.8738,87595.42941,2000,9,Co-op Sidmouth,0,0,0,0,0,0,0,0,0,0,0,0
Waitrose Sidmouth,E02004165,1,312228.3507,89673.3494,25000,10,Waitrose Sidmouth,0,0,0,0,0,0,0,0,0.00158346,0.00158346,0.00157146,0.00155528
Lidl Sidmouth,E02004165,1,312583.0407,88973.5794,8000,11,Lidl Sidmouth,0,0,0,0,0,0,0,0,0,0,0,0
Sainsburys Ottery St Mary,E02004165,1,309672.0007,95513.99941,25000,12,Sainsburys Ottery St Mary,0,0,0,0.00032504,0.00229562,0.00264372,0.00698919,0.00966624,0.012666,0.01249944,0.01249944,0.01249944
Tesco Seaton Superstore,E02004165,1,324764.0507,90078.0794,50000,13,Tesco Seaton Superstore,0,0,0,0.00032504,0.00229562,0.00264372,0.00698919,0.00966624,0.012666,0.01249944,0.01249944,0.01249944
Co-op Seaton - Underfleet,E02004169,1,324598.8515,90008.04402,8000,14,Co-op Seaton - Underfleet,0,0,0,0,0,0,0,0,0,0,0,0
Co-op Seaton,E02004169,1,324347.0552,90425.94353,2000,15,Co-op Seaton,0,0,0,0,0,0,0,0,0,0,0,0
Co-op Axminster - South Street,E02004169,1,329753.0007,98435.99941,8000,16,Co-op Axminster - South Street,0,0,0,0,0,0,0,0,0,0,0,0
Tesco Axminster Superstore,E02004169,1,329510.0007,98561.99941,8000,17,Tesco Axminster Superstore,0,0,0,0,0,0,0,0.0001422,0.00100434,0.00115663,0.00305777,0.00422898
Co-op Axminster,E02004169,1,329627.3807,98362.67941,8000,18,Co-op Axminster,0,0,0,0,0,0,0,0,0,0,0,0
Aldi Honiton,E02004169,1,315037.0307,100186.1894,8000,19,Aldi Honiton,0,0,0,0,0,0,0,0.0005959,0.00420865,0.00484682,0.01281352,0.01772144
M&S Honiton BP,E02004169,1,315063.2148,100257.9673,2000,20,M&S Honiton BP,0,0,0,0,0,0,0,0.00014897,0.00105216,0.00121171,0.00320338,0.00443036
