URN,LA_name,EstablishmentName,PhaseOfEducation_name,NumberOfPupils,Postcode,Easting,Northing,MSOA_code,LSOA_code
113050,Devon,Chestnut Nursery,Nursery,71,EX2 6DJ,294145,91451,E02004161,E01020014
134674,Devon,West Exe Nursery School,Nursery,135,EX4 1HL,290963,91692,E02004158,E01020031
113183,Devon,Abbotskerswell Primary School,Primary,111,TQ12 5NS,285630,68932,E02004219,E01020192
143186,Devon,All Saints Church of England Primary School,Primary,109,EX13 7LX,330530,101145,E02004133,E01019966
142251,Devon,All Saints Marsh CofE Academy,Primary,92,TQ12 2DJ,286527,71491,E02004214,E01020217
143188,Devon,Alphington Primary School,Primary,464,EX2 8RQ,291487,90093,E02004162,E01019969
113125,Devon,Appledore School,Primary,249,EX39 1PF,246089,130265,E02004220,E01020276
136561,Devon,Ashburton Primary School,Primary,188,TQ13 7DW,275833,69838,E02004217,E01020196
145810,Devon,Ashleigh CofE  Primary School,Primary,264,EX32 8LJ,256324,133100,E02004182,E01020094
113126,Devon,Ashwater Primary School,Primary,26,EX21 5EW,239029,95896,E02004228,E01020290
138631,Devon,Aveton Gifford CofE Primary School,Primary,97,TQ7 4LB,269402,47703,E02004196,E01020147
113422,Devon,Awliscombe Church of England Primary School,Primary,87,EX14 3PJ,313483,101648,E02004132,E01019959
141523,Devon,Axminster Community Primary Academy,Primary,194,EX13 5BU,330193,98585,E02004133,E01019887
145762,Devon,Bampton Church of England Primary School,Primary,128,EX16 9NW,295242,122090,E02004164,E01020050
113120,Devon,Bassetts Farm Primary School,Primary,412,EX8 4GB,302114,82502,E02004146,E01019924
113129,Devon,Beaford Community Primary & Nursery School,Primary,111,EX19 8LJ,255496,114896,E02004226,E01020303
142649,Devon,Bearnes Voluntary Primary School,Primary,102,TQ12 2AU,286279,71372,E02004214,E01020218
143190,Devon,Beer Church of England Primary School,Primary,109,EX12 3NB,322437,89312,E02004137,E01019890
147639,Devon,Bere Alston Primary Academy,Primary,100,PL20 7AU,244377,67000,E02004235,E01020313
113388,Devon,Berry Pomeroy Parochial Church of England Primary School,Primary,99,TQ9 6LH,282965,61285,E02004192,E01020156
113371,Devon,Berrynarbor Church of England Primary School,Primary,91,EX34 9SE,256044,146630,E02004176,E01020099
113493,Devon,Bickleigh Down Church of England Primary School,Primary,411,PL6 7JW,250831,61501,E02004189,E01020146
137776,Devon,Bickleigh on Exe Church of England Primary School,Primary,147,EX16 8RE,294024,107126,E02004171,E01020044
113133,Devon,Bishops Nympton Primary School,Primary,75,EX36 4PU,275876,123759,E02004188,E01020087
113134,Devon,Bishops Tawton Primary School,Primary,173,EX32 0AE,256557,130349,E02004186,E01020122
113185,Devon,Bishopsteignton School,Primary,206,TQ14 9RJ,290578,73523,E02004211,E01020201
145341,Devon,Black Torrington Church of England Primary School,Primary,30,EX21 5PU,246479,105684,E02004228,E01020289
141284,Devon,Blackawton Primary School,Primary,130,TQ9 7BE,280431,50958,E02004192,E01020188
137665,Devon,Blackpool Church of England Primary School,Primary,317,TQ12 6JB,281245,74084,E02004207,E01020237
145330,Devon,Boasley Cross Community Primary School,Primary,60,EX20 4JH,250036,93705,E02004232,E01020314
113337,Devon,Bolham Community Primary School,Primary,111,EX16 7RA,295146,114786,E02004165,E01020047
113187,Devon,Bovey Tracey Primary School,Primary,288,TQ13 9HZ,281454,78575,E02004204,E01020206
113060,Devon,Bow Community Primary School,Primary,138,EX17 6HU,272236,101402,E02004172,E01020076
143193,Devon,Bowhill Primary School,Primary,486,EX4 1JT,290735,91779,E02004158,E01019975
145346,Devon,Bradford Primary School,Primary,27,EX22 7AB,241883,105749,E02004228,E01020289
113241,Devon,Bradley Barton Primary School and Nursery Unit,Primary,462,TQ12 1PR,284505,71339,E02004212,E01020209
136492,Devon,Bradworthy Primary Academy,Primary,198,EX22 7RT,232273,114091,E02004227,E01020291
113347,Devon,Brampford Speke Church of England Primary School,Primary,63,EX5 5HE,292625,98496,E02004134,E01019903
113348,Devon,Branscombe Church of England Primary School,Primary,29,EX12 3DA,319619,88631,E02004137,E01019890
145809,Devon,Bratton Fleming Community Primary School,Primary,113,EX31 4SB,264359,137763,E02004180,E01020088
141761,Devon,Brayford Academy,Primary,34,EX32 7QJ,269072,134815,E02004187,E01020131
145331,Devon,Bridestowe Primary School,Primary,84,EX20 4EL,251413,89366,E02004232,E01020314
145342,Devon,Bridgerule Church of England Primary School,Primary,56,EX22 7EN,227582,102851,E02004227,E01020302
142044,Devon,Brixington Primary Academy,Primary,424,EX8 4JQ,301509,82985,E02004143,E01019906
136280,Devon,Broadclyst Community Primary School,Primary,535,EX5 3JG,298400,97447,E02004134,E01019891
113349,Devon,Broadhembury Church of England Primary School,Primary,24,EX14 3NF,310164,104687,E02004132,E01019959
147493,Devon,Broadhempston Village Primary School,Primary,100,TQ9 6BL,280151,66266,E02004219,E01020193
136562,Devon,Buckfastleigh Primary School,Primary,193,TQ11 0DD,273780,66097,E02004217,E01020199
113141,Devon,Buckland Brewer Primary School,Primary,61,EX39 5LX,242115,120586,E02004227,E01020309
113350,Devon,Burlescombe Church of England Primary School,Primary,56,EX16 7JH,307009,116989,E02004164,E01020046
113138,Devon,Caen Community Primary School,Primary,436,EX33 1AD,248731,136704,E02004179,E01020093
113245,Devon,Canada Hill Community Primary School,Primary,345,TQ12 6YS,284789,70218,E02004213,E01020194
145338,Devon,Chagford Church of England Primary School,Primary,143,TQ13 8BZ,270236,87969,E02004231,E01020318
144073,Devon,Charleton Church of England Academy,Primary,77,TQ7 2AL,275496,42625,E02004199,E01020174
145397,Devon,Cheriton Bishop Community Primary School,Primary,88,EX6 6HY,277287,93559,E02004172,E01020082
