"day","cases"
2020-03-05,25
2020-03-06,73
2020-03-07,121
2020-03-08,169
2020-03-09,217
2020-03-10,265
2020-03-11,313
2020-03-12,361
2020-03-13,1115
2020-03-14,1870
2020-03-15,2624
2020-03-16,3379
2020-03-17,4133
2020-03-18,4888
2020-03-19,5642
2020-03-20,10264
2020-03-21,14886
2020-03-22,19508
2020-03-23,24130
2020-03-24,28752
2020-03-25,33374
2020-03-26,37996
2020-03-27,47850
2020-03-28,57704
2020-03-29,67558
2020-03-30,77411
2020-03-31,87265
2020-04-01,97119
2020-04-02,106972
2020-04-03,112198
2020-04-04,117423
2020-04-05,122649
2020-04-06,127874
2020-04-07,133099
2020-04-08,138325
2020-04-09,143550
2020-04-10,140967
2020-04-11,138384
2020-04-12,135800
2020-04-13,133217
2020-04-14,130633
2020-04-15,128050
2020-04-16,125467
2020-04-17,128827
2020-04-18,132187
2020-04-19,135547
2020-04-20,138907
2020-04-21,142267
2020-04-22,145627
2020-04-23,148987
2020-04-24,148898
2020-04-25,148808
2020-04-26,148718
2020-04-27,148628
2020-04-28,148539
2020-04-29,148449
2020-04-30,148359
2020-05-01,148269
2020-05-02,148180
2020-05-03,148090
2020-05-04,148000
2020-05-05,146429
2020-05-06,144857
2020-05-07,143286
2020-05-08,141714
2020-05-09,140143
2020-05-10,138571
2020-05-11,137000
2020-05-12,136429
2020-05-13,135857
2020-05-14,135286
2020-05-15,134714
2020-05-16,134143
2020-05-17,133571
2020-05-18,133000
2020-05-19,119667
2020-05-20,106333
2020-05-21,93000
2020-05-22,79667
2020-05-23,66333
2020-05-24,53000
2020-05-25,50500
2020-05-26,48000
2020-05-27,45500
2020-05-28,43000
2020-05-29,40500
2020-05-30,38000
2020-05-31,35500
2020-06-01,33000
2020-06-02,33000
2020-06-03,33000
2020-06-04,33000
2020-06-05,33000
2020-06-06,33000
2020-06-07,33000
2020-06-08,35250
2020-06-09,37500
2020-06-10,39750
2020-06-11,42000
2020-06-12,44250
2020-06-13,46500
2020-06-14,48750
2020-06-15,51000
2020-06-16,46667
2020-06-17,42333
2020-06-18,38000
2020-06-19,33667
2020-06-20,29333
2020-06-21,25000
2020-06-22,23625
2020-06-23,22250
2020-06-24,20875
2020-06-25,19500
2020-06-26,18125
2020-06-27,16750
2020-06-28,15375
2020-06-29,14000
2020-06-30,14960
2020-07-01,15920
2020-07-02,16880
2020-07-03,17840
2020-07-04,18800
2020-07-05,19760
2020-07-06,20720
2020-07-07,21680
2020-07-08,22640
2020-07-09,23600
2020-07-10,23893
2020-07-11,24186
2020-07-12,24479
2020-07-13,24771
2020-07-14,25064
2020-07-15,25357
2020-07-16,25650
2020-07-17,25943
2020-07-18,26236
2020-07-19,26529
2020-07-20,26821
2020-07-21,27114
2020-07-22,27407
2020-07-23,35700
2020-07-24,34643
2020-07-25,33586
2020-07-26,32529
2020-07-27,31471
2020-07-28,30414
2020-07-29,29357
2020-07-30,28300
2020-07-31,28300
2020-08-01,28300
2020-08-02,28300
2020-08-03,28300
