"","x"
"1",10
"2",11
"3",13
"4",16
"5",18
"6",21
"7",24
"8",28
"9",33
"10",38
"11",44
"12",51
"13",59
"14",67
"15",77
"16",89
"17",101
"18",115
"19",131
"20",148
"21",166
"22",186
"23",206
"24",228
"25",251
"26",274
"27",298
"28",321
"29",344
"30",367
"31",388
"32",407
"33",424
"34",439
"35",451
"36",460
"37",466
"38",468
"39",468
"40",464
"41",458
"42",450
"43",439
"44",427
"45",412
"46",397
"47",381
"48",364
"49",346
"50",328
"51",310
"52",292
"53",273
"54",255
"55",238
"56",221
"57",204
"58",188
"59",172
"60",158
"61",144
"62",131
"63",120
"64",109
"65",99
"66",90
"67",82
"68",75
"69",68
"70",62
"71",57
"72",52
"73",48
"74",44
"75",41
"76",38
"77",35
"78",32
"79",30
"80",28
"81",26
"82",25
"83",23
"84",22
"85",21
"86",20
"87",19
"88",18
"89",17
"90",16
"91",15
"92",14
"93",13
"94",13
"95",12
"96",11
"97",11
"98",10
"99",10
"100",9
"101",9
"102",8
"103",8
