"","x"
"1",13
"2",15
"3",17
"4",19
"5",22
"6",26
"7",30
"8",34
"9",39
"10",45
"11",52
"12",59
"13",68
"14",78
"15",89
"16",101
"17",115
"18",130
"19",147
"20",165
"21",185
"22",206
"23",228
"24",250
"25",274
"26",297
"27",320
"28",343
"29",365
"30",385
"31",404
"32",421
"33",436
"34",448
"35",458
"36",464
"37",468
"38",468
"39",466
"40",460
"41",452
"42",442
"43",429
"44",415
"45",400
"46",383
"47",365
"48",346
"49",328
"50",309
"51",290
"52",271
"53",253
"54",235
"55",218
"56",202
"57",186
"58",171
"59",157
"60",144
"61",132
"62",120
"63",110
"64",100
"65",91
"66",83
"67",75
"68",69
"69",63
"70",57
"71",52
"72",48
"73",44
"74",41
"75",38
"76",35
"77",33
"78",31
"79",29
"80",27
"81",25
"82",24
"83",22
"84",21
"85",20
"86",19
"87",18
"88",17
"89",16
"90",15
"91",14
"92",13
"93",13
"94",12
"95",11
"96",11
"97",10
"98",9
"99",9
"100",8
"101",8
"102",7
"103",7
"104",6
"105",6
"106",6
"107",5
"108",5
"109",5
