,num_cases
1,101.0836576
2,100.5537656
3,100.3905894
4,101.3241914
5,106.5225242
6,119.0633795
7,139.250655
8,163.6199666
9,183.4792771
10,195.935274
11,203.2394724
12,210.2305907
13,221.5718469
14,239.4899235
15,261.4698221
16,279.5771644
17,290.9535288
18,297.3245584
19,302.4079782
20,309.7473122
21,321.2545876
22,335.5194642
23,347.4161153
24,354.7942949
25,358.1057913
26,358.6470792
27,357.5354644
28,355.5230109
29,353.3143639
30,351.6720238
31,350.5855751
32,349.4054247
33,346.9754149
34,342.0448207
35,334.1537566
36,324.6959654
37,317.1088135
38,312.1962413
39,308.3312759
40,302.5914499
41,291.8481984
42,274.6899677
43,253.89834
44,236.9519186
45,226.2355797
46,219.6256486
47,212.935505
48,201.839988
49,184.252061
50,162.7634045
51,145.1183505
52,134.0067091
53,127.6746241
54,122.4457239
55,114.5053861
56,102.0106832
57,86.65545801
58,73.98100604
59,66.01863231
60,61.90992595
61,59.18647002
62,55.09289382
63,48.65563949
64,40.74795724
65,34.22748526
66,30.12831666
67,27.91292068
68,26.28638257
69,23.93613469
70,20.25766625
71,15.72274739
72,11.96652492
73,9.614765661
74,8.441679187
75,7.804772587
76,7.048398621
77,5.889323375
78,4.442012363
79,3.234058654
80,2.474362261
81,2.105881839
82,1.926873269
83,1.70777954
84,1.370940307
85,0.95072776
86,0.599149443
87,0.379675076
88,0.288112168
89,0.324282805
90,0.402063785
91,0.527093766
92,0.678162496
93,0.800790754
94,0.880124412
95,0.93410223
96,0.997743748
97,1.109116566
98,1.286926305
99,1.503937951
100,1.681854237
101,1.793738354
102,1.859500546
103,1.949821479
104,2.119592104
105,2.390154201
106,2.720851973
107,2.993355939
108,3.16339043
109,3.2531014
110,3.304411896
111,3.356553362
112,3.434944989
113,3.534109517
114,3.617301836
115,3.669775847
116,3.69861963
117,3.719266391
118,3.746439166
119,3.789650555
120,3.84590975
121,3.896403938
122,3.92496629
123,3.914683691
124,3.842364889
125,3.684976907
126,3.431456816
127,3.125790106
128,2.876872588
129,2.721131219
130,2.632867951
131,2.658559788
132,2.779243676
133,2.973190429
134,3.198550369
135,3.373734002
136,3.492231459
137,3.633087848
138,3.964793123
139,4.631843563
140,5.700019664
141,6.986747081
142,8.027794707
143,8.690370717
144,9.15279975
145,9.761970592
146,10.83621026
147,12.54704413
148,14.64063495
149,16.36589574
150,17.44047075
151,18.00112986
152,18.32056095
153,18.64996681
154,19.15411056
155,19.805591
156,20.37144998
157,20.71064861
158,20.75514442
159,20.43347081
160,19.664906
161,18.41797315
162,16.92656258
163,15.72573443
164,14.97159579
165,14.47996971
166,14.1857869
167,13.91779947
168,13.46138974
169,12.80508418
170,12.14677299
171,11.87404473
172,12.68262683
173,16.71611509
174,25.88569907
175,40.51990632
176,57.95751191
177,71.83019661
178,80.93362123
179,89.03917872
180,103.4940552
181,131.609065
182,176.4671721
183,230.5971593
184,274.4473551
185,302.4191568
186,321.8432538
187,346.15321
188,388.8544938
189,456.7999141
190,539.5884022
191,607.4516919
192,650.1286027
193,674.9096849
194,696.008298
195,727.2730979
196,776.4235888
197,837.0544409
198,887.3181966
199,918.7512424
200,934.8294645
201,943.1451175
202,950.8432721
203,962.2054826
204,976.6864078
205,988.9072757
206,996.7136635
207,1001.088203
208,1004.187456
209,1008.184549
210,1014.219226
211,1021.512536
212,1027.33462
213,1031.258927
214,1035.215429
215,1042.47529
216,1056.464821
217,1078.802269
218,1105.765711
219,1127.639932
220,1141.536062
221,1150.832305
222,1161.559154
223,1179.824057
224,1208.87523
225,1244.400084
226,1273.648655
227,1291.909731
228,1301.601542
229,1307.605722
230,1314.640966
231,1325.565363
232,1339.498503
233,1351.485801
234,1358.656608
235,1359.705733
236,1353.155133
237,1337.153206
238,1311.1896
239,1280.116955
240,1255.058302
241,1239.186519
242,1228.475485
243,1215.835777
244,1194.087822
245,1159.420973
246,1116.989277
247,1081.998204
248,1060.218101
249,1049.126308
250,1043.463202
251,1038.208607
252,1030.226034
253,1019.699036
254,1010.366696
255,1005.010033
256,1005.779946
257,1015.747722
258,1038.45407
259,1075.02912
260,1118.721532
261,1153.764966
262,1176.365866
263,1193.725066
264,1218.449484
265,1263.465337
266,1335.183733
267,1422.14775
268,1493.003221
269,1537.967525
270,1566.999176
271,1598.141803
272,1649.514426
273,1730.770836
274,1829.854197
275,1910.952422
276,1962.287924
277,1994.100896
278,2025.388766
279,2075.161389
280,2153.827007
281,2250.315414
282,2329.905953
283,2379.684685
284,2406.217974
285,2422.83421
286,2442.435134
287,2472.804206
288,2511.382067
289,2544.397391
290,2564.262155
291,2568.250461
292,2553.645924
293,2516.857779
294,2457.221625
295,2386.224152
296,2329.404633
297,2292.924435
298,2264.986244
299,2225.445672
300,2153.635152
301,2039.110232
302,1900.037385
303,1786.479137
304,1714.71964
305,1670.386558
306,1626.989788
307,1558.108484
308,1449.341118
309,1316.125872
310,1206.528719
311,1137.502507
312,1097.851453
313,1065.869648
314,1020.184622
315,948.7765275
316,860.7930833
317,788.1008773
318,742.2751826
319,716.5422282
320,697.1326476
321,670.3225195
322,628.6064424
323,577.1603973
324,534.6543252
325,507.799603
326,492.3850247
327,480.1947415
328,463.0046387
329,436.1870924
330,403.1584872
331,375.8801476
332,358.6761675
333,348.9945927
334,341.5679412
335,331.1034494
336,314.7688856
337,294.6469971
338,278.0263867
339,267.5406528
340,261.7069312
341,257.2534773
342,250.8706164
343,240.9387265
344,228.7352656
345,218.691752
346,212.3217887
347,208.4948434
348,204.9393796
349,199.3376952
350,190.5280889
351,179.7725188
352,170.953111
353,165.3678057
354,161.9678739
355,158.7994184
356,153.8515455
357,146.0531817
358,136.5060225
359,128.6581778
360,123.7038701
361,120.83182
362,118.3653648
363,114.7231173
364,109.0127196
365,102.0109074
366,96.25635982
367,92.60979198
368,90.43997701
369,88.46143993
370,85.32713075
371,80.38046902
372,74.32861688
