"","area_code","risk"
"1","E02004129","Medium"
"2","E02004130","Medium"
"3","E02004131","Medium"
"4","E02004132","Medium"
"5","E02004133","Medium"
"6","E02004134","Medium"
"7","E02004135","Medium"
"8","E02004136","Medium"
"9","E02004137","Medium"
"10","E02004138","Medium"
"11","E02004139","Medium"
"12","E02004140","Medium"
"13","E02004141","Medium"
"14","E02004142","Medium"
"15","E02004143","High"
"16","E02004144","High"
"17","E02004145","Medium"
"18","E02004146","Medium"
"19","E02004147","Medium"
"20","E02004148","Medium"
"21","E02004149","High"
"22","E02004150","Medium"
"23","E02004151","Medium"
"24","E02004152","Medium"
"25","E02004153","Medium"
"26","E02004154","High"
"27","E02004155","Medium"
"28","E02004156","Medium"
"29","E02004157","High"
"30","E02004158","Medium"
"31","E02004159","High"
"32","E02004160","Medium"
"33","E02004161","Medium"
"34","E02004162","High"
"35","E02004163","High"
"36","E02004164","Medium"
"37","E02004165","Medium"
"38","E02004166","Medium"
"39","E02004167","Medium"
"40","E02004168","Medium"
"41","E02004169","Medium"
"42","E02004170","Medium"
"43","E02004171","Medium"
"44","E02004172","Medium"
"45","E02004173","Medium"
"46","E02004174","Medium"
"47","E02004175","Medium"
"48","E02004176","Low"
"49","E02004177","Medium"
"50","E02004178","Medium"
"51","E02004179","Medium"
"52","E02004180","Medium"
"53","E02004181","Medium"
"54","E02004182","Medium"
"55","E02004183","Medium"
"56","E02004184","Medium"
"57","E02004185","Medium"
"58","E02004186","Medium"
"59","E02004187","Low"
"60","E02004188","Low"
"61","E02004189","Medium"
"62","E02004190","Medium"
"63","E02004191","Medium"
"64","E02004192","Medium"
"65","E02004193","Medium"
"66","E02004194","Medium"
"67","E02004195","Medium"
"68","E02004196","Medium"
"69","E02004197","Medium"
"70","E02004198","Medium"
"71","E02004199","Medium"
"72","E02004200","Medium"
"73","E02004201","Medium"
"74","E02004202","Medium"
"75","E02004203","Medium"
"76","E02004204","Medium"
"77","E02004205","Medium"
"78","E02004206","Medium"
"79","E02004207","Medium"
"80","E02004208","High"
"81","E02004209","Medium"
"82","E02004210","Medium"
"83","E02004211","Medium"
"84","E02004212","Medium"
"85","E02004213","Medium"
"86","E02004214","Medium"
"87","E02004215","Medium"
"88","E02004216","Medium"
"89","E02004217","Medium"
"90","E02004218","Medium"
"91","E02004219","Medium"
"92","E02004220","Medium"
"93","E02004221","Medium"
"94","E02004222","Medium"
"95","E02004223","Medium"
"96","E02004224","Low"
"97","E02004225","Medium"
"98","E02004226","Low"
"99","E02004227","Low"
"100","E02004228","Low"
"101","E02004229","Medium"
"102","E02004230","Medium"
"103","E02004231","Medium"
"104","E02004232","Medium"
"105","E02004233","Medium"
"106","E02004234","Medium"
"107","E02004235","Medium"
