MSOA11CD,cases
E02000001,0
E02000002,0
E02000003,0
E02000004,22
E02000005,0
E02000007,22
E02000008,22
E02000009,22
E02000010,0
E02000011,0
E02000012,16
E02000013,0
E02000014,16
E02000015,16
E02000016,16
E02000017,0
E02000018,0
E02000019,22
E02000020,0
E02000021,16
E02000022,16
E02000023,27
E02000024,0
E02000025,38
E02000026,0
E02000027,22
E02000028,0
E02000029,33
E02000030,22
E02000031,16
E02000032,27
E02000033,0
E02000034,0
E02000035,33
E02000036,16
E02000037,44
E02000038,16
E02000039,0
E02000040,33
E02000041,16
E02000042,38
E02000043,16
E02000044,27
E02000045,44
E02000046,0
E02000047,38
E02000048,27
E02000049,27
E02000050,0
E02000051,16
E02000052,16
E02000053,33
E02000054,33
E02000055,71
E02000056,22
E02000057,44
E02000058,82
E02000059,71
E02000060,66
E02000061,93
E02000062,0
E02000063,0
E02000064,22
E02000065,0
E02000066,0
E02000067,16
E02000068,0
E02000069,0
E02000070,0
E02000071,0
E02000072,0
E02000073,16
E02000074,0
E02000075,22
E02000077,22
E02000078,0
E02000079,33
E02000080,0
E02000081,0
E02000082,22
E02000083,0
E02000084,0
E02000085,0
E02000086,0
E02000087,0
E02000088,16
E02000089,16
E02000090,27
E02000091,38
E02000092,27
E02000093,22
E02000094,27
E02000095,33
E02000096,0
E02000097,33
E02000098,27
E02000099,22
E02000100,71
E02000101,60
E02000102,27
E02000103,38
E02000104,55
E02000105,33
E02000106,38
E02000107,16
E02000108,27
E02000109,44
E02000110,0
E02000111,16
E02000112,38
E02000113,93
E02000114,38
E02000115,27
E02000116,27
E02000117,60
E02000118,38
E02000119,71
E02000120,0
E02000121,60
E02000122,38
E02000123,55
E02000124,22
E02000125,27
E02000126,33
E02000127,16
E02000128,27
E02000130,44
E02000131,27
E02000132,33
E02000133,0
E02000134,33
E02000135,22
E02000136,16
E02000137,44
E02000138,38
E02000139,16
E02000140,38
E02000141,0
E02000142,0
E02000144,55
E02000145,0
E02000146,49
E02000147,22
E02000148,0
E02000149,0
E02000150,33
E02000151,22
E02000152,16
E02000153,22
E02000154,16
E02000155,0
E02000156,44
E02000157,0
E02000158,33
E02000159,0
E02000160,0
E02000161,27
E02000162,22
E02000163,27
E02000165,0
E02000166,33
E02000167,22
E02000168,16
E02000169,27
E02000170,22
E02000171,27
E02000172,33
E02000173,0
E02000174,22
E02000175,22
E02000176,16
E02000177,38
E02000178,33
E02000179,27
E02000180,0
E02000181,38
E02000182,22
E02000183,27
E02000184,22
E02000185,49
E02000186,0
E02000187,38
E02000188,27
E02000189,0
E02000190,0
E02000191,0
E02000192,27
E02000193,0
E02000194,0
E02000195,49
E02000196,27
E02000197,66
E02000198,22
E02000199,71
E02000200,33
E02000201,0
E02000202,27
E02000203,55
E02000204,49
E02000206,44
E02000207,0
E02000208,38
E02000209,16
E02000210,0
E02000211,38
E02000212,49
E02000213,38
E02000214,0
E02000215,44
E02000216,22
E02000217,27
E02000218,0
E02000219,22
E02000220,22
E02000221,44
E02000222,33
E02000223,0
E02000224,0
E02000225,22
E02000226,33
E02000227,27
E02000228,0
E02000229,0
E02000230,44
E02000231,22
E02000232,0
E02000233,0
E02000234,0
E02000235,0
E02000236,22
E02000237,0
E02000238,0
E02000239,22
E02000240,16
E02000241,16
E02000242,22
E02000243,16
E02000244,0
E02000245,22
E02000246,22
E02000247,33
E02000248,22
E02000249,27
E02000250,38
E02000251,16
E02000252,0
E02000253,44
E02000254,55
E02000255,22
E02000256,0
E02000257,33
E02000258,0
E02000259,16
E02000260,22
E02000261,44
E02000262,22
E02000263,27
E02000264,33
E02000265,27
E02000266,66
E02000267,22
E02000268,0
E02000269,27
E02000270,22
E02000271,0
E02000272,22
E02000274,38
E02000275,16
E02000276,16
E02000277,0
E02000278,16
E02000279,0
E02000280,16
E02000281,0
E02000282,0
E02000283,0
E02000284,22
E02000285,0
E02000286,0
E02000287,0
E02000288,0
E02000289,16
E02000290,0
E02000291,27
E02000292,27
E02000293,16
E02000294,33
E02000295,0
E02000296,33
E02000297,38
E02000298,0
E02000299,27
E02000300,44
E02000301,0
E02000302,0
E02000303,0
E02000304,0
E02000305,0
E02000306,38
E02000307,16
E02000308,0
E02000309,60
E02000311,0
E02000312,33
E02000313,0
E02000314,76
E02000315,0
E02000316,27
E02000317,27
E02000318,0
E02000319,22
E02000320,22
E02000321,0
E02000323,38
E02000324,0
E02000326,0
E02000327,0
E02000328,0
E02000329,0
E02000331,16
E02000332,0
E02000333,0
E02000334,0
E02000335,0
E02000337,0
E02000339,16
E02000340,0
E02000341,0
E02000342,0
E02000343,0
E02000344,16
E02000345,27
E02000346,27
E02000347,0
E02000348,22
E02000350,33
E02000351,0
E02000352,33
E02000353,0
E02000354,22
E02000355,27
E02000356,0
E02000357,22
E02000358,22
E02000359,0
E02000360,16
E02000361,27
E02000362,27
E02000363,33
E02000364,0
E02000365,27
E02000366,27
E02000367,27
E02000368,33
E02000369,27
E02000370,0
E02000371,22
E02000372,49
E02000373,22
E02000374,16
E02000375,0
E02000376,27
E02000377,22
E02000378,22
E02000379,16
E02000380,0
E02000381,0
E02000382,0
E02000383,27
E02000384,38
E02000385,22
E02000386,27
E02000387,27
E02000388,33
E02000389,33
E02000390,0
E02000391,22
E02000392,16
E02000393,0
E02000394,44
E02000395,0
E02000396,33
E02000397,22
E02000398,22
E02000400,16
E02000401,0
E02000402,0
E02000403,0
E02000404,0
E02000405,0
E02000406,16
E02000407,16
E02000408,22
E02000409,16
E02000410,0
E02000411,22
E02000412,33
E02000413,0
E02000414,0
E02000415,0
E02000416,16
E02000417,0
E02000418,0
E02000419,0
E02000420,27
E02000421,27
E02000422,22
E02000423,0
E02000424,0
E02000425,0
E02000426,22
E02000427,22
E02000428,0
E02000429,16
E02000430,0
E02000431,0
E02000432,0
E02000433,66
E02000434,22
E02000435,33
E02000436,0
E02000437,71
E02000438,33
E02000439,0
E02000440,44
E02000441,27
E02000442,27
E02000443,22
E02000444,0
E02000445,49
E02000447,33
E02000448,0
E02000449,38
E02000451,27
E02000452,16
E02000453,0
E02000454,22
E02000455,33
E02000456,16
E02000457,33
E02000459,16
E02000460,22
E02000461,16
E02000462,0
E02000463,16
E02000464,0
E02000465,0
E02000466,16
E02000467,0
E02000468,22
E02000469,0
E02000470,22
E02000471,0
E02000472,0
E02000473,27
E02000474,0
E02000475,44
E02000476,0
E02000477,0
E02000478,22
E02000479,0
E02000480,22
E02000481,16
E02000482,0
E02000483,38
E02000484,0
E02000485,0
E02000486,0
E02000487,0
E02000488,0
E02000489,0
E02000490,0
E02000491,27
E02000492,0
E02000493,0
E02000494,16
E02000495,0
E02000496,16
E02000497,22
E02000498,0
E02000499,0
E02000500,22
E02000501,22
E02000502,44
E02000503,0
E02000504,0
E02000506,16
E02000507,0
E02000508,0
E02000509,0
E02000510,22
E02000511,16
E02000512,22
E02000513,22
E02000514,38
E02000515,0
E02000516,0
E02000517,27
E02000518,0
E02000519,0
E02000520,49
E02000521,0
E02000522,0
E02000523,0
E02000524,0
E02000525,0
E02000526,0
E02000528,33
E02000529,33
E02000530,0
E02000531,27
E02000532,16
E02000533,0
E02000534,22
E02000535,16
E02000536,0
E02000537,0
E02000538,0
E02000539,44
E02000540,27
E02000541,0
E02000542,22
E02000543,22
E02000544,0
E02000545,16
E02000546,0
E02000547,33
E02000548,0
E02000549,27
E02000550,33
E02000551,0
E02000552,0
E02000553,16
E02000554,0
E02000555,0
E02000556,16
E02000557,0
E02000558,22
E02000559,0
E02000560,16
E02000561,16
E02000562,33
E02000563,0
E02000564,44
E02000565,0
E02000566,0
E02000567,44
E02000568,33
E02000569,33
E02000570,0
E02000571,16
E02000572,16
E02000573,0
E02000574,27
E02000575,27
E02000576,22
E02000577,22
E02000578,22
E02000579,16
E02000580,38
E02000581,0
E02000582,27
E02000583,0
E02000584,0
E02000585,16
E02000586,22
E02000587,16
E02000588,27
E02000589,27
E02000590,27
E02000591,27
E02000592,0
E02000593,0
E02000594,27
E02000595,0
E02000596,0
E02000597,27
E02000598,16
E02000599,16
E02000600,55
E02000601,27
E02000602,16
E02000603,44
E02000604,0
E02000605,0
E02000606,27
E02000607,16
E02000608,0
E02000609,0
E02000610,0
E02000611,0
E02000612,27
E02000613,0
E02000614,22
E02000615,0
E02000616,16
E02000617,0
E02000619,38
E02000620,38
E02000621,27
E02000622,49
E02000623,44
E02000624,44
E02000625,27
E02000626,33
E02000627,22
E02000628,38
E02000629,0
E02000630,0
E02000631,44
E02000632,55
E02000633,27
E02000634,33
E02000635,33
E02000636,60
E02000637,27
E02000638,38
E02000639,27
E02000640,27
E02000641,33
E02000642,33
E02000643,60
E02000644,27
E02000645,22
E02000646,27
E02000647,33
E02000648,0
E02000649,66
E02000650,0
E02000651,0
E02000652,0
E02000653,27
E02000654,27
E02000655,44
E02000657,0
E02000658,22
E02000659,0
E02000660,0
E02000661,0
E02000662,33
E02000663,0
E02000664,49
E02000665,0
E02000666,33
E02000667,16
E02000668,0
E02000669,22
E02000670,16
E02000671,0
E02000672,22
E02000673,22
E02000674,33
E02000675,16
E02000676,27
E02000677,22
E02000678,27
E02000679,22
E02000680,27
E02000681,33
E02000682,27
E02000683,0
E02000685,0
E02000686,0
E02000687,0
E02000689,0
E02000690,22
E02000691,16
E02000692,22
E02000693,44
E02000694,44
E02000695,0
E02000696,44
E02000697,33
E02000698,0
E02000699,0
E02000700,16
E02000701,44
E02000702,22
E02000703,27
E02000704,0
E02000705,16
E02000706,0
E02000707,16
E02000708,16
E02000709,0
E02000710,38
E02000711,22
E02000712,0
E02000713,16
E02000714,0
E02000715,55
E02000716,0
E02000717,0
E02000718,0
E02000719,0
E02000720,27
E02000721,38
E02000722,16
E02000723,27
E02000724,27
E02000725,16
E02000726,16
E02000727,22
E02000728,0
E02000729,16
E02000730,0
E02000731,0
E02000732,22
E02000733,0
E02000734,16
E02000735,22
E02000736,27
E02000737,33
E02000738,0
E02000739,22
E02000740,22
E02000741,16
E02000742,0
E02000743,0
E02000744,0
E02000745,27
E02000746,27
E02000747,38
E02000748,0
E02000749,22
E02000750,0
E02000751,71
E02000752,0
E02000753,0
E02000754,0
E02000755,0
E02000756,0
E02000757,16
E02000758,0
E02000759,27
E02000760,0
E02000762,0
E02000763,0
E02000764,0
E02000765,0
E02000767,16
E02000768,0
E02000769,27
E02000770,0
E02000772,0
E02000773,0
E02000774,0
E02000776,0
E02000777,0
E02000779,0
E02000780,16
E02000781,38
E02000782,0
E02000783,0
E02000784,0
E02000785,27
E02000786,33
E02000787,0
E02000788,0
E02000789,16
E02000790,16
E02000791,0
E02000792,0
E02000793,44
E02000794,0
E02000795,0
E02000796,38
E02000797,0
E02000798,0
E02000799,0
E02000800,0
E02000801,0
E02000802,0
E02000803,0
E02000804,22
E02000805,44
E02000806,22
E02000807,33
E02000808,33
E02000809,16
E02000810,38
E02000812,38
E02000813,0
E02000814,22
E02000815,0
E02000816,44
E02000817,33
E02000818,44
E02000819,44
E02000820,0
E02000821,22
E02000822,22
E02000823,33
