MSOA11CD,cases
E02000984,0
E02000985,0
E02000986,0
E02000987,0
E02000988,0
E02000989,0
E02000990,0
E02000991,0
E02000992,0
E02000993,0
E02000994,0
E02000995,0
E02000996,0
E02000997,0
E02000998,0
E02000999,0
E02001000,0
E02001001,0
E02001002,0
E02001003,0
E02001004,0
E02001005,0
E02001006,0
E02001007,22
E02001008,0
E02001009,0
E02001010,0
E02001011,0
E02001012,0
E02001013,0
E02001014,0
E02001015,0
E02001016,0
E02001017,0
E02001018,0
E02001019,0
E02001020,0
E02001021,0
E02001022,16
E02001023,16
E02001024,0
E02001025,0
E02001026,0
E02001027,0
E02001028,0
E02001029,0
E02001030,0
E02001031,0
E02001032,0
E02001033,0
E02001034,0
E02001035,0
E02001036,0
E02001037,0
E02001038,0
E02001039,0
E02001040,0
E02001041,0
E02001042,0
E02001043,0
E02001044,16
E02001045,0
E02001046,0
E02001047,0
E02001048,0
E02001049,0
E02001050,0
E02001051,0
E02001052,16
E02001053,0
E02001055,0
E02001056,0
E02001057,0
E02001059,0
E02001061,0
E02001062,0
E02001063,0
E02001064,16
E02001065,0
E02001066,0
E02001067,0
E02001068,0
E02001069,0
E02001070,0
E02001071,0
E02001072,0
E02001073,0
E02001074,0
E02001075,0
E02001076,0
E02001077,0
E02001078,0
E02001079,0
E02001080,0
E02001081,16
E02001082,0
E02001083,0
E02001084,0
E02001085,0
E02001086,0
E02001087,0
E02001088,0
E02001089,0
E02001090,0
E02001091,0
E02001092,0
E02001093,0
E02001094,0
E02001095,0
E02001096,0
E02001097,0
E02001098,0
E02001099,22
E02001100,0
E02001101,0
E02001102,0
E02001103,0
E02001104,16
E02001105,0
E02001106,0
E02001107,0
E02001108,22
E02001109,0
E02001110,0
E02001111,0
E02001112,0
E02001113,0
E02001114,0
E02001115,0
E02001116,0
E02001117,0
E02001118,0
E02001119,27
E02001121,0
E02001123,0
E02001124,0
E02001125,0
E02001126,0
E02001127,0
E02001128,0
E02001129,16
E02001130,0
E02001131,0
E02001132,0
E02001133,0
E02001134,0
E02001135,0
E02001136,0
E02001137,0
E02001138,16
E02001139,0
E02001140,0
E02001141,0
E02001142,0
E02001143,27
E02001144,0
E02001145,0
E02001146,0
E02001147,0
E02001148,27
E02001149,0
E02001150,0
E02001151,16
E02001152,0
E02001153,0
E02001154,0
E02001155,0
E02001156,0
E02001157,0
E02001158,22
E02001159,0
E02001160,0
E02001161,0
E02001162,0
E02001163,16
E02001164,0
E02001165,0
E02001166,33
E02001167,0
E02001168,0
E02001169,0
E02001170,27
E02001171,0
E02001172,38
E02001173,0
E02001174,33
E02001175,0
E02001176,0
E02001177,49
E02001178,16
E02001179,27
E02001180,0
E02001181,0
E02001182,0
E02001183,0
E02001184,0
E02001185,0
E02001186,0
E02001187,0
E02001188,0
E02001189,0
E02001190,0
E02001191,0
E02001192,0
E02001193,0
E02001194,0
E02001195,0
E02001196,0
E02001197,0
E02001198,0
E02001199,16
E02001200,0
E02001201,0
E02001202,0
E02001203,0
E02001204,0
E02001205,0
E02001206,0
E02001207,0
E02001208,16
E02001209,0
E02001210,0
E02001211,0
E02001212,0
E02001213,0
E02001214,0
E02001215,0
E02001216,0
E02001217,22
E02001218,0
E02001219,0
E02001220,0
E02001221,0
E02001222,0
E02001223,0
E02001224,0
E02001225,0
E02001226,0
E02001227,0
E02001228,0
E02001229,0
E02001230,0
E02001231,0
E02001232,0
E02001233,0
E02001234,0
E02001235,0
E02001236,0
E02001237,0
E02001238,0
E02001239,0
E02001240,0
E02001241,0
E02001242,0
E02001243,0
E02001244,16
E02001245,0
E02001246,0
E02001247,0
E02001248,0
E02001249,0
E02001250,0
E02001251,0
E02001252,0
E02001253,0
E02001254,0
E02001255,0
E02001256,0
