MSOA11CD,cases
E02003314,0
E02003315,0
E02003316,16
E02003317,0
E02003318,0
E02003319,0
E02003320,0
E02003321,22
E02003322,0
E02003323,0
E02003324,16
E02003325,0
E02003326,0
E02003327,0
E02003328,0
E02003329,0
E02003330,0
E02003331,0
E02003332,0
E02003333,0
E02003334,0
E02003335,33
E02003336,0
E02003337,0
E02003338,0
E02003339,0
E02003340,0
E02003341,0
E02003342,0
E02003343,0
E02003344,0
E02003345,0
E02003346,0
E02003347,0
E02003348,0
E02003349,0
E02003350,0
E02003351,0
E02003352,0
E02003353,0
E02003354,0
E02003355,0
E02003356,0
E02003357,0
E02003358,0
E02003359,0
E02003360,0
E02003361,0
E02003362,0
E02003363,0
E02003364,22
E02003365,0
E02003366,0
E02003367,0
E02003368,0
E02003369,0
E02003370,0
E02003371,0
E02003372,0
E02003373,0
E02003374,0
E02003375,0
E02003376,0
E02003377,16
E02003378,0
E02003379,16
E02003380,0
E02003381,0
E02003382,0
E02003383,0
E02003384,22
E02003385,0
E02003386,0
E02003387,22
E02003388,0
E02003389,0
E02003390,0
E02003391,0
E02003392,0
E02003393,0
E02003394,0
E02003395,0
E02003396,0
E02003397,0
E02003398,16
E02003399,0
E02003400,0
E02003401,16
E02003402,0
E02003403,0
E02003404,16
E02003405,0
E02003406,0
E02003407,33
E02003408,0
E02003409,0
E02003410,22
E02003411,22
E02003412,0
E02003413,33
E02003414,22
E02003415,49
E02003416,16
E02003417,0
E02003418,0
E02003419,27
E02003420,0
E02003421,0
E02003422,0
E02003423,0
E02003424,0
E02003425,0
E02003426,0
E02003427,0
E02003428,16
E02003429,0
E02003430,0
E02003431,0
E02003432,0
E02003433,0
E02003434,22
E02003435,0
E02003436,0
E02003437,0
E02003438,16
E02003439,0
E02003440,0
E02003441,0
E02003442,0
E02003443,0
E02003444,0
E02003445,0
E02003446,0
E02003447,0
E02003448,0
E02003449,0
E02003450,0
E02003451,16
E02003452,0
E02003453,0
E02003454,0
E02003455,0
E02003456,0
E02003457,22
E02003458,0
E02003459,0
E02003460,0
E02003461,0
E02003462,0
E02003463,0
E02003464,0
E02003465,0
E02003466,0
E02003467,0
E02003468,0
E02003469,0
E02003470,0
E02003471,0
E02003472,0
E02003473,0
E02003474,22
E02003475,16
E02003476,0
E02003477,0
E02003478,0
E02003479,0
E02003480,0
E02003481,0
E02003482,27
E02003483,0
E02003484,0
E02003485,22
E02003486,16
E02003487,0
E02003488,0
E02003489,0
E02003490,22
E02003491,0
E02003492,0
E02003493,0
E02003494,0
E02003495,0
E02003496,0
E02003497,0
E02003498,0
E02003499,0
E02003500,0
E02003501,16
E02003502,0
E02003503,0
E02003504,0
E02003505,0
E02003506,0
E02003507,0
E02003508,0
E02003509,0
E02003510,0
E02003511,0
E02003512,0
E02003513,0
E02003514,0
E02003515,0
E02003516,0
E02003517,0
E02003518,0
E02003519,0
E02003520,0
E02003521,0
E02003522,0
E02003523,0
E02003524,0
E02003525,0
E02003526,0
E02003527,16
E02003529,0
E02003530,0
E02003531,0
E02003532,0
E02003533,22
E02003534,0
E02003535,0
E02003536,0
E02003537,0
E02003538,0
E02003539,27
E02003540,0
E02003541,0
E02003542,0
E02003543,0
E02003544,0
E02003545,0
E02003546,0
E02003547,0
E02003548,0
E02003549,0
E02003550,0
E02003551,0
E02003552,0
E02003553,0
E02003554,0
E02003555,0
E02003556,0
E02003557,0
E02003558,16
E02003559,0
E02003560,0
E02003561,0
E02003562,0
E02003563,0
E02003564,0
E02003565,16
E02003566,0
E02003567,0
E02003568,0
E02003569,0
E02003570,16
E02003571,0
E02003572,0
E02003573,0
E02003574,0
E02003575,0
E02003576,0
E02003577,0
E02003578,0
E02003579,0
E02003580,0
E02003581,0
E02003582,0
E02003583,16
E02003584,0
E02003585,0
E02003586,0
E02003587,0
E02003588,0
E02003589,0
E02003590,0
E02003591,0
E02003592,0
E02003593,0
E02003594,0
E02003595,0
E02003596,0
E02003597,0
E02003598,0
E02003652,0
E02003653,0
E02003654,0
E02003655,0
E02003656,0
E02003657,0
E02003658,0
E02003659,0
E02003660,0
E02003661,0
E02003662,0
E02003663,0
E02003664,0
E02003665,0
E02003666,0
E02003667,0
E02003668,0
E02003669,0
E02003670,0
E02003671,0
E02003672,0
E02003673,0
E02003674,0
E02003675,0
E02003676,0
E02003677,0
E02003678,0
E02003679,0
E02003680,0
E02003681,0
E02003682,0
E02003683,0
E02003685,0
E02003686,0
E02003687,0
E02003688,0
E02003689,16
E02003690,27
E02003691,0
E02003692,16
E02003693,0
E02003694,16
E02003695,0
E02003696,0
E02003697,0
E02003698,0
E02003699,0
E02003701,0
E02003702,0
E02003703,16
E02003704,0
E02003705,16
E02003706,0
E02003707,0
E02003708,16
E02003709,0
E02003710,0
E02003711,0
E02003712,0
E02003713,0
E02003714,0
E02003715,0
E02003716,0
E02003717,0
E02003718,0
E02004356,0
E02004357,0
E02004358,0
E02004359,0
E02004361,0
E02004362,0
E02004363,0
E02004364,0
E02004365,0
E02004366,0
E02004367,0
E02004368,0
E02004369,0
E02004370,0
E02004371,0
E02004372,0
E02004373,0
E02004374,0
E02004375,0
E02004376,0
E02004377,0
E02004378,0
E02004379,0
E02004380,0
E02004381,0
E02004382,22
E02004383,0
E02004384,0
E02004385,0
E02004386,0
E02004387,0
E02004388,0
E02004389,0
E02004390,0
E02004391,0
E02004392,0
E02004393,0
E02004394,0
E02004395,0
E02004396,0
E02004397,0
E02004398,0
E02004399,0
E02004400,0
E02004401,0
E02004402,0
E02004403,0
E02004404,0
E02004405,0
E02004406,16
E02004407,22
E02004408,0
E02004409,0
E02004410,0
E02004411,22
E02004412,0
E02004413,0
E02004414,0
E02004415,0
E02004416,0
E02004417,0
E02004418,0
E02004419,0
E02004420,0
E02004421,0
E02004422,0
E02004423,0
E02004675,16
E02004676,0
E02004677,0
E02004678,0
E02004679,22
E02004680,0
E02004681,44
E02004682,0
E02004683,22
E02004684,55
E02004685,22
E02004686,0
E02004687,0
E02004688,0
E02004689,0
E02004690,0
E02004691,0
E02004692,0
E02004693,0
E02004694,0
E02004695,16
E02004696,0
E02004697,0
E02004698,0
E02004699,0
E02004700,0
E02004702,0
E02004703,22
E02004704,0
E02004705,0
E02004706,0
E02004707,0
E02004708,0
E02004709,0
E02004710,22
E02004712,0
E02004713,0
E02004714,0
E02004715,0
E02004716,0
E02004717,33
E02004718,0
E02004719,0
E02004720,0
E02004721,0
E02004722,0
E02004723,0
E02004724,0
E02004725,0
E02004726,0
E02004727,0
