MSOA11CD,cases
E02001509,27
E02001510,0
E02001511,0
E02001512,33
E02001513,0
E02001514,0
E02001515,0
E02001516,0
E02001517,16
E02001518,44
E02001519,0
E02001520,0
E02001521,0
E02001522,0
E02001523,0
E02001524,0
E02001525,0
E02001526,0
E02001527,16
E02001528,0
E02001529,16
E02001530,0
E02001531,0
E02001532,0
E02001533,0
E02001534,0
E02001535,0
E02001536,0
E02001537,0
E02001538,0
E02001539,0
E02001540,0
E02001541,0
E02001542,0
E02001543,0
E02001544,0
E02001545,0
E02001546,0
E02001547,0
E02001548,0
E02001549,0
E02001550,0
E02001551,0
E02001552,0
E02001553,0
E02001554,0
E02001555,0
E02001556,0
E02001557,0
E02001558,0
E02001559,0
E02001560,0
E02001561,0
E02001562,0
E02001563,0
E02001564,0
E02001565,44
E02001566,0
E02001567,0
E02001568,0
E02001569,0
E02001570,0
E02001571,0
E02001572,0
E02001573,0
E02001574,0
E02001575,0
E02001576,0
E02001577,0
E02001578,0
E02001579,16
E02001580,0
E02001581,0
E02001582,16
E02001583,0
E02001584,0
E02001585,0
E02001586,0
E02001587,0
E02001588,0
E02001589,0
E02001590,0
E02001591,0
E02001592,0
E02001593,0
E02001594,0
E02001595,0
E02001596,0
E02001597,0
E02001598,0
E02001599,16
E02001600,0
E02001601,0
E02001602,0
E02001603,16
E02001604,38
E02001605,0
E02001606,0
E02001607,0
E02001608,0
E02001609,0
E02001610,0
E02001611,0
E02001612,16
E02001613,27
E02001614,49
E02001615,0
E02001616,22
E02001617,33
E02001618,38
E02001619,16
E02001620,22
E02001621,0
E02001622,0
E02001623,66
E02001624,0
E02001625,22
E02001626,22
E02001627,0
E02001628,0
E02001629,0
E02001630,0
E02001631,33
E02001632,60
E02001633,33
E02001634,16
E02001635,0
E02001636,16
E02001637,0
E02001638,27
E02001639,0
E02001640,0
E02001642,55
E02001643,22
E02001646,0
E02001647,0
E02001648,44
E02001649,22
E02001650,27
E02001651,55
E02001652,0
E02001653,33
E02001654,60
E02001655,0
E02001656,55
E02001657,33
E02001658,0
E02001659,27
E02001660,27
E02001661,0
E02001662,33
E02001663,0
E02001664,22
E02001665,82
E02001666,0
E02001669,33
E02001670,0
E02001671,22
E02001672,27
E02001673,16
E02001674,27
E02001675,0
E02001676,16
E02001678,38
E02001679,0
E02001680,0
E02001681,27
E02002183,0
E02002184,0
E02002185,0
E02002186,0
E02002187,0
E02002188,0
E02002189,0
E02002190,0
E02002191,0
E02002192,0
E02002193,0
E02002194,0
E02002195,0
E02002196,0
E02002197,0
E02002198,0
E02002199,0
E02002200,0
E02002201,0
E02002202,0
E02002203,0
E02002204,16
E02002205,0
E02002206,0
E02002207,0
E02002208,0
E02002209,0
E02002210,0
E02002211,0
E02002212,0
E02002213,0
E02002214,0
E02002215,0
E02002216,0
E02002217,0
E02002218,0
E02002219,0
E02002220,0
E02002221,0
E02002222,0
E02002223,0
E02002224,0
E02002225,0
E02002226,0
E02002227,0
E02002228,0
E02002229,0
E02002230,0
E02002231,0
E02002232,0
E02002233,0
E02002234,0
E02002235,0
E02002236,0
E02002237,0
E02002238,0
E02002239,0
E02002240,0
E02002241,0
E02002242,0
E02002243,0
E02002244,0
E02002245,0
E02002246,0
E02002247,0
E02002248,0
E02002249,0
E02002250,0
E02002251,0
E02002252,0
E02002253,0
E02002254,0
E02002255,0
E02002256,0
E02002257,0
E02002258,0
E02002259,0
E02002260,0
E02002261,0
E02002262,0
E02002263,0
E02002264,0
E02002265,0
E02002266,0
E02002267,0
E02002268,0
E02002269,0
E02002270,0
E02002271,0
E02002272,0
E02002273,0
E02002274,0
E02002275,0
E02002276,0
E02002277,0
E02002278,0
E02002279,0
E02002280,0
E02002281,0
E02002282,0
E02002283,16
E02002284,0
E02002285,0
E02002286,0
E02002287,0
E02002288,0
E02002289,0
E02002290,0
E02002291,0
E02002292,0
E02002293,0
E02002294,0
E02002295,0
E02002296,0
E02002297,0
E02002298,0
E02002299,0
E02002300,0
E02002301,0
E02002302,0
E02002303,0
E02002304,0
E02002305,0
E02002306,0
E02002307,0
E02002308,0
E02002309,0
E02002310,0
E02002311,0
E02002312,0
E02002313,0
E02002314,0
E02002315,0
E02002316,0
E02002317,0
E02002318,0
E02002319,0
E02002320,0
E02002321,0
E02002322,0
E02002323,0
E02002324,0
E02002325,0
E02002326,0
E02002327,0
E02002328,0
E02002329,0
E02002330,0
E02002331,0
E02002332,0
E02002333,0
E02002334,0
E02002335,0
E02002336,0
E02002337,0
E02002338,0
E02002339,0
E02002340,0
E02002341,0
E02002342,0
E02002343,0
E02002344,0
E02002345,0
E02002346,0
E02002347,0
E02002348,0
E02002349,0
E02002350,0
E02002351,0
E02002352,0
E02002353,0
E02002354,0
E02002356,0
E02002357,0
E02002358,0
E02002359,0
E02002360,0
E02002361,0
E02002362,0
E02002363,0
E02002364,16
E02002366,0
E02002367,0
E02002368,0
E02002369,0
E02002370,0
E02002371,0
E02002373,0
E02002374,0
E02002375,0
E02002376,0
E02002377,0
E02002379,0
E02002380,0
E02002381,0
E02002382,0
E02002383,0
E02002384,0
E02002385,0
E02002386,0
E02002387,0
E02002388,0
E02002389,0
E02002390,0
E02002391,0
E02002392,0
E02002393,0
E02002394,0
E02002395,0
E02002396,0
E02002397,0
E02002398,0
E02002399,0
E02002400,0
E02002401,0
E02002402,0
E02002403,0
E02002404,0
E02002405,0
E02002406,0
E02002407,0
E02002408,0
E02002409,0
E02002410,0
E02002411,0
E02002412,0
E02002414,0
E02002415,0
E02002416,0
E02002417,0
E02002418,0
E02002419,0
E02002420,0
E02002421,0
E02002422,0
E02002423,0
E02002424,0
E02002425,0
E02002426,0
E02002427,0
E02002428,0
E02002429,0
E02002430,0
E02002431,0
E02002432,0
E02002433,0
E02002434,0
E02002435,0
E02002436,0
E02002437,0
E02002438,0
E02002439,16
E02002440,0
E02002441,0
E02002442,0
E02002443,0
E02002444,0
E02002445,0
E02002446,0
E02002447,0
E02002448,0
E02002449,0
E02002450,0
E02002451,0
E02002452,0
E02002453,0
E02002454,0
E02002455,0
E02002456,0
E02002457,0
E02002458,0
E02002459,0
E02002460,0
E02002461,0
E02002462,0
E02002463,0
E02002464,0
E02002465,0
E02002466,0
E02002467,0
E02002468,0
E02002469,0
E02002470,0
E02002471,0
E02002472,0
E02002473,0
E02002474,0
E02002475,0
E02002476,0
E02002477,0
E02002478,0
E02002479,0
E02002480,16
E02002481,0
E02002482,0
E02002652,0
E02002653,0
E02002654,0
E02002655,0
E02002656,0
E02002657,0
E02002658,0
E02002659,0
E02002660,0
E02002661,0
E02002662,0
E02002663,0
E02002664,0
E02002665,0
E02002666,0
E02002667,0
E02002668,0
E02002669,0
E02002670,0
E02002671,0
E02002672,0
E02002673,0
E02002674,0
E02002675,0
E02002676,0
E02002677,0
E02002678,0
E02002679,0
E02002680,0
E02002681,0
E02002682,0
E02002684,0
E02002685,0
E02002686,0
E02002687,0
E02002688,0
E02002689,0
E02002691,0
E02002692,0
E02002693,0
E02002694,0
E02002695,0
E02002696,0
E02002697,0
E02002698,0
E02002699,0
E02002700,0
E02002701,0
E02002702,0
E02002703,0
E02002704,0
E02002705,0
E02002706,0
E02002707,0
E02002708,0
E02002709,0
E02002710,0
E02002711,0
E02002712,0
E02002714,0
E02002715,0
E02002716,0
E02002717,0
E02002718,0
E02002719,0
E02002720,0
E02002721,0
E02002722,0
E02002723,0
E02002724,0
E02002725,0
E02002726,0
E02002727,0
E02002728,0
E02002729,0
E02002730,0
E02002731,0
E02002732,0
E02002733,0
E02002734,0
E02002735,0
E02002736,0
E02002737,0
E02002738,0
E02002739,0
E02002740,0
E02002741,0
E02002742,0
E02002743,0
E02002744,0
E02002745,0
E02002746,0
E02002747,0
E02002748,0
E02002749,0
E02002750,0
E02002751,0
E02002752,0
E02002753,0
E02002754,0
E02002755,0
E02002756,0
E02002757,0
E02002758,0
E02002759,0
E02002760,0
E02002761,0
E02002762,0
E02002763,0
E02002764,0
E02002765,0
E02002766,0
E02002767,0
E02002768,0
E02002769,0
E02002770,0
E02002771,0
E02002772,0
E02002773,0
E02002774,0
E02002775,0
E02002776,0
E02002777,0
E02002778,0
E02002779,0
E02002780,0
E02002781,0
E02002782,0
E02002783,0
E02002784,0
E02002785,0
E02002786,0
E02002787,0
E02002788,0
E02002789,0
E02002790,0
E02002791,0
E02002792,0
E02002793,0
E02002794,0
E02002795,0
E02005742,22
E02005743,0
E02005744,0
E02005745,0
E02005746,0
E02005747,0
E02005748,0
E02005749,0
E02005750,0
E02005751,0
E02005752,0
E02005753,22
E02005754,0
E02005755,0
E02005756,0
E02005757,0
E02005758,0
E02005759,0
E02005760,0
E02005761,0
E02005762,0
E02005763,0
E02005764,0
E02005765,0
E02005766,0
E02005767,0
E02005768,0
E02005769,0
E02005770,0
E02005771,0
E02005772,0
E02005773,0
E02005774,16
E02005775,0
E02005776,33
E02005777,0
E02005778,0
E02005779,0
E02005780,0
E02005781,0
E02005782,0
E02005783,0
E02005784,0
E02005785,0
E02005786,0
E02005787,0
E02005788,0
E02005789,0
E02005790,0
E02005791,0
E02005794,0
E02005795,0
E02005796,0
E02005797,0
E02005798,0
E02005799,0
E02005800,0
E02005801,0
E02005802,0
E02005803,0
E02005804,0
E02005805,0
E02005806,0
E02005807,0
E02005808,0
E02005809,0
E02005810,0
E02005811,0
E02005812,0
E02005813,0
E02005814,0
E02005815,0
E02005816,0
E02005817,0
E02005818,0
E02006803,16
E02006813,0
E02006814,0
E02006843,0
E02006844,0
E02006852,0
E02006861,0
E02006868,27
E02006869,22
E02006870,0
E02006875,0
E02006876,0
E02006891,0
E02006892,0
